"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0.06378092617,0,0,0,0.1688199192,0,0.4711456299,0,0.3761846423,0,0.5961609483,10.3312101364136,0.897603392601013,50.0329284667969,10.9298601150513,22.6329441070557,66.9673767089844,161.012573242188,0,0,1.8764619017019e-4,7.815298740752e-4,
1,0,0.2664475441,0,0,0,0.9762373567,0,0.786799252,0,0.6617130637,0,1.203385592,6.97170448303223,0.514347553253174,42.637809753418,9.31715106964111,21.7584476470947,67.6465301513672,161.257461547852,0,0,0.00114967848639935,0.00595213240012527,
2,0,0.6140885353,0,0,0,2.091584444,0,1.050197124,0,0.8905937672,0,1.832776308,5.08535003662109,0.368917465209961,36.3693046569824,7.94879579544067,20.9177684783936,67.9221572875977,161.4365234375,0,0,0.00368196307681501,0.0191619135439396,
3,0,1.108825922,0,0,0,3.40357542,0,1.280002236,0,1.076121092,0,2.478700876,4.08897399902344,0.330715239048004,31.0676860809326,6.78873300552368,20.1096515655518,67.9265975952148,161.573883056641,0,0,0.00856417044997215,0.0414064973592758,
4,0,1.750811458,0,0,0,4.844574451,0,1.484964132,0,1.227324128,0,3.135113716,3.62656235694885,0.33833372592926,26.5946559906006,5.80619812011719,19.3329086303711,67.7471923828125,161.682113647461,0,0,0.0165431294590235,0.0726872161030769,
5,0,2.538738966,0,0,0,6.36656332,0,1.670250297,0,1.351002693,0,3.796612263,3.48015785217285,0.363312363624573,22.8308944702148,4.97493839263916,18.5864238739014,67.4426116943359,161.768157958984,0,0,0.0283244140446186,0.112469792366028,
6,0,3.470076323,0,0,0,7.932844639,0,1.839303732,0,1.452485919,0,4.45857811,3.51659607887268,0.392831772565842,19.6735992431641,4.2725510597229,17.8691444396973,67.0529937744141,161.836196899414,0,0,0.0445665270090103,0.159916833043098,
7,0,4.541204453,0,0,0,9.514268875,0,1.994597316,0,1.536026955,0,5.117133617,3.65493178367615,0.421436876058578,17.0342597961426,3.67991781234741,17.1800804138184,66.6063766479492,161.889022827148,0,0,0.0658764839172363,0.214025691151619,
8,0,5.747519493,0,0,0,11.08722496,0,2.138000488,0,1.605051875,0,5.769059658,3.84637188911438,0.447085380554199,14.8366975784302,3.18072438240051,16.5182952880859,66.1227493286133,161.928665161133,0,0,0.092806339263916,0.273716688156128,
9,0,7.083518505,0,0,0,12.63244247,0,2.270979404,0,1.662332892,0,6.411709309,4.06187582015991,0.469270050525665,13.0153656005859,2.76105046272278,15.882908821106,65.6166229248047,161.956756591797,0,0,0.125850424170494,0.337891578674316,
10,0,8.542881966,0,0,0,14.13422108,0,2.394717216,0,1.710117936,0,7.04292345,4.28449249267578,0.488134741783142,11.5138692855835,2.40901923179626,15.2730894088745,65.098762512207,161.974655151367,0,0,0.1654432117939,0.405473291873932,
11,0,10.11855412,0,0,0,15.57988262,0,2.510189295,0,1.75023067,0,7.660959244,4.50462436676025,0.504064321517944,10.2837057113647,2.11449766159058,14.6880493164063,64.5772171020508,161.98356628418,0,0,0.211957797408104,0.475433051586151,
12,0,11.80282021,0,0,0,16.95936966,0,2.618214607,0,1.784149647,0,8.264431,4.71710872650146,0.517500698566437,9.28317260742188,1.86884152889252,14.1270456314087,64.0580978393555,161.984497070313,0,0,0.265704959630966,0.546808242797852,
13,0,13.58739567,0,0,0,18.26493073,0,2.719489813,0,1.813073039,0,8.852245331,4.91942405700684,0.528864979743958,8.47642803192139,1.66467761993408,13.5893726348877,63.5460624694824,161.978363037109,0,0,0.326932519674301,0.618714272975922,
14,0,15.46350479,0,0,0,19.49084473,0,2.81461525,0,1.837969065,0,9.423570633,5.11059045791626,0.538528382778168,7.832688331604,1.49571788311005,13.0743579864502,63.0446548461914,161.96598815918,0,0,0.395825684070587,0.690351784229279,
15,0,17.42197037,0,0,0,20.63321114,0,2.904113054,0,1.859619379,0,9.97778511,5.29050397872925,0.546806156635284,7.32553672790527,1.35660016536713,12.5813617706299,62.5565567016602,161.948120117188,0,0,0.472507357597351,0.761009991168976,
16,0,19.45330238,0,0,0,21.689731599999998,0,2.988441467,0,1.878653407,0,10.51444721,5.45953321456909,0.553959786891937,6.93232870101929,1.24275279045105,12.1097736358643,62.0837593078613,161.925384521484,0,0,0.557039380073547,0.830068051815033,
