"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0.01485012751,0,0,0,0.01452842169,0,0.07925952226,0,0.1273055971,0,0.1808631718,13.3603944778442,1.36481809616089,25.483772277832,6.90406942367554,11.0322141647339,53.9416236877441,114.543930053711,0,0,3.66292842954863e-5,6.89180960762315e-5,
1,0,0.06595888734,0,0,0,0.1272580922,0,0.1741298586,0,0.2602859437,0,0.3916149437,10.5460186004639,0.917161047458649,22.8753967285156,6.19876194000244,10.7374105453491,54.1494102478027,114.699157714844,0,0,2.3430667351931e-4,7.3143548797816e-4,
2,0,0.1576344669,0,0,0,0.3161668479,0,0.2735943496,0,0.3889679909,0,0.6200368404,8.45895957946777,0.656380355358124,20.5405502319336,5.56774044036865,10.4504909515381,54.2000274658203,114.817405700684,0,0,7.7529321424663e-4,0.00272800773382187,
3,0,0.2921799421,0,0,0,0.5675289631,0,0.3746144474,0,0.511049211,0,0.8626399636,6.93918704986572,0.514591991901398,18.4533138275146,5.00353145599365,10.1712551116943,54.1300315856934,114.910568237305,0,0,0.001849967520684,0.00652130553498864,
4,0,0.4710055292,0,0,0,0.8709064126,0,0.4756048024,0,0.6256247759,0,1.117140532,5.85997295379639,0.447833210229874,16.5901222229004,4.49940204620361,9.89951419830322,53.9684181213379,114.986404418945,0,0,0.00364931323565543,0.012391759082675,
5,0,0.6949220896,0,0,0,1.217594385,0,0.5755882859,0,0.7323860526,0,1.381681681,5.12153196334839,0.427721828222275,14.9295721054077,4.04928970336914,9.63509082794189,53.7381553649902,115.049995422363,0,0,0.00636121071875095,0.0204880107194185,
6,0,0.9642686844,0,0,0,1.59998548,0,0.6739138961,0,0.8313423395,0,1.65461576,4.64552164077759,0.435984313488007,13.4522323608398,3.64773964881897,9.37781810760498,53.4574394226074,115.104675292969,0,0,0.0101679340004921,0.0308596007525921,
7,0,1.278980732,0,0,0,2.011261225,0,0.7701304555,0,0.9226896763,0,1.9344251159999999,4.37055253982544,0.460896462202072,12.1404600143433,3.28984093666077,9.12753868103027,53.1406669616699,115.152687072754,0,0,0.0152442445978522,0.043480396270752,
8,0,1.638633013,0,0,0,2.445227861,0,0.863920331,0,1.006737947,0,2.219691277,4.2485990524292,0.494974702596664,10.9782314300537,2.97117328643799,8.88410568237305,52.7992324829102,115.195526123047,0,0,0.0217558443546295,0.0582663603127003,
9,0,2.042470455,0,0,0,2.896224976,0,0.955060184,0,1.083865166,0,2.509082079,4.24214839935303,0.533479750156403,9.9509859085083,2.68775773048401,8.64738082885742,52.4421234130859,115.234199523926,0,0,0.0298580750823021,0.0750894993543625,
10,0,2.489431858,0,0,0,3.359069586,0,1.043395996,0,1.154487848,0,2.801345825,4.32194900512695,0.573447287082672,9.045485496521,2.43601083755493,8.41723346710205,52.0764198303223,115.269432067871,0,0,0.0396948233246803,0.0937891006469727,
11,0,2.978172064,0,0,0,3.829025745,0,1.128826261,0,1.219040632,0,3.09531045,4.46523332595825,0.61305969953537,8.24969291687012,2.21270632743835,8.19354248046875,51.7076950073242,115.301727294922,0,0,0.0513975732028484,0.114180870354176,
12,0,3.507082224,0,0,0,4.301781654,0,1.211290121,0,1.277961254,0,3.389882088,4.65432119369507,0.65123850107193,7.55265474319458,2.01493811607361,7.97619438171387,51.3402976989746,115.331466674805,0,0,0.0650846064090729,0.136064529418945,
13,0,4.074309826,0,0,0,4.773436546,0,1.290758014,0,1.331680775,0,3.684042931,4.87551927566528,0.687380075454712,6.94440412521362,1.84008896350861,7.76507997512817,50.9776077270508,115.358932495117,0,0,0.0808603689074516,0.15923011302948,
14,0,4.677779675,0,0,0,5.240490913,0,1.367226243,0,1.380617261,0,3.976854801,5.11825847625732,0.721183657646179,6.4158673286438,1.68580114841461,7.56009817123413,50.622241973877,115.38436126709,0,0,0.0988149046897888,0.183463260531425,
15,0,5.315214157,0,0,0,5.69983387,0,1.440710545,0,1.425169468,0,4.267452717,5.37441539764404,0.752540409564972,5.95878601074219,1.54995048046112,7.36115312576294,50.2761878967285,115.407943725586,0,0,0.119023494422436,0.208549529314041,
16,0,5.984156132,0,0,0,6.148736477,0,1.511243105,0,1.465714931,0,4.555047512,5.63777780532837,0.781460165977478,5.5656418800354,1.43062317371368,7.16815423965454,49.9409446716309,115.429840087891,0,0,0.141546338796616,0.23427814245224,
