"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0.008425734006,0,0,0,0,0,0.0954624936,0,0.009802273475,0,0.01326091308,0,12.0576677322388,1.15580272674561,39.2188758850098,8.41860103607178,10.0033235549927,32.9280815124512,89.061897277832,1.86667348316405e-5,0,0,0,
1,0.03549707681,0,0,0,0,0,0.3006355166,0,0.03155241534,0,0.043069016189999997,0,8.83142375946045,0.685071766376495,34.5968627929688,7.42664909362793,9.69605255126953,33.7731170654297,89.2208633422852,1.1510037438711e-4,0,0,0,
2,0.08229964972,0,0,0,0,0,0.5849338174,0,0.06217453629,0,0.08595129102,0,6.49760770797729,0.412595182657242,30.5199108123779,6.55192756652832,9.39822196960449,34.3546867370605,89.3308410644531,3.7067793891765e-4,0,0,0,
3,0.1493988484,0,0,0,0,0,0.9346499443,0,0.1000870988,0,0.1405717134,0,4.82317876815796,0.258485168218613,26.9238929748535,5.78072881698608,9.10954761505127,34.7322845458984,89.4070816040039,8.666202193126e-4,0,0,0,
4,0.237151742,0,0,0,0,0,1.340693593,0,0.1440981776,0,0.2061834782,0,3.63666653633118,0.175398319959641,23.7522239685059,5.10095262527466,8.82975578308105,34.9516334533691,89.4591979980469,0.00168238522019237,0,0,0,
5,0.3457870781,0,0,0,0,0,1.796163082,0,0.1932001114,0,0.2823128104,0,2.81191372871399,0.135225355625153,20.9549884796143,4.50191879272461,8.55858421325684,35.048095703125,89.4934158325195,0.00289500458166003,0,0,0,
6,0.4754396975,0,0,0,0,0,2.295417309,0,0.2464978993,0,0.368632406,0,2.25603914260864,0.121220506727695,18.4881439208984,3.97420263290405,8.29577922821045,35.0492248535156,89.5139236450195,0.00457870587706566,0,0,0,
7,0.6261686683,0,0,0,0,0,2.83362937,0,0.3031789064,0,0.4648962617,0,1.9005800485611,0.123353496193886,16.3128433227539,3.50948715209961,8.04109954833984,34.976634979248,89.5236663818359,0.00680466694757342,0,0,0,
8,0.797968328,0,0,0,0,0,3.406541109,0,0.3624992371,0,0.5709017515,0,1.69498753547668,0.135566025972366,14.3948106765747,3.10043430328369,7.7943115234375,34.8474311828613,89.5247802734375,0.00964084733277559,0,0,0,
9,0.9907752275,0,0,0,0,0,4.010314465,0,0.4237769842,0,0.6864649057,0,1.60185611248016,0.154152989387512,12.7038116455078,2.74056887626648,7.55519247055054,34.6752281188965,89.5188903808594,0.0131518691778183,0,0,0,
10,1.204473138,0,0,0,0,0,4.641438961,0,0.4863886833,0,0.8114037514,0,1.59342730045319,0.176807552576065,11.213171005249,2.42417740821838,7.32352733612061,34.4709510803223,89.5073089599609,0.0173989292234182,0,0,0,
11,1.438897252,0,0,0,0,0,5.296666145,0,0.5497679114,0,0.9455271363,0,1.64902806282043,0.202057778835297,9.89935684204102,2.14621782302856,7.09911012649536,34.2434387207031,89.491081237793,0.0224397294223309,0,0,0,
12,1.693836331,0,0,0,0,0,5.972970009,0,0.6134037971,0,1.088627219,0,1.7531943321228,0.228934496641159,8.74160957336426,1.90224075317383,6.88174247741699,33.9998588562012,89.471076965332,0.0283284373581409,0,0,0,
13,1.969035983,0,0,0,0,0,6.667512417,0,0.6768396497,0,1.240473986,0,1.89429700374603,0.256775110960007,7.72161293029785,1.68831932544708,6.67123460769653,33.7460823059082,89.4480590820313,0.0351156517863274,0,0,0,
14,2.264200687,0,0,0,0,0,7.377622604,0,0.7396720052,0,1.400812864,0,2.06353521347046,0.285107910633087,6.82320833206177,1.50098729133606,6.46740341186523,33.4869155883789,89.4226531982422,0.0428483821451664,0,0,0,
15,2.578994989,0,0,0,0.3250683248,0,7.775712013,0,0.8015482426,0,1.569361925,0,2.24232006072998,0.313583463430405,6.03643989562988,1.3371844291687,6.27007341384888,33.2256393432617,89.3954086303711,0.0515700280666351,0.00152956182137132,0,0,
16,2.913046598,0,0,0,0.8985202312,0,7.936083317,0,0.8621649742,0,1.74581337,0,2.40773439407349,0.341933935880661,5.35594463348389,1.19420874118805,6.07907485961914,32.9638404846191,89.3667831420898,0.0613204017281532,0.00705290166661143,0,0,
17,3.265947104,0,0,0,1.491704345,0,8.085133553,0,0.9212652445,0,1.929833055,0,2.55395150184631,0.369948476552963,4.77316522598267,1.06967377662659,5.89424562454224,32.7025146484375,89.3371658325195,0.0721357092261314,0.0172204077243805,0,0,
18,3.637254238,0,0,0,2.101421356,0,8.223930359,0,0.9786362052,0,2.121062517,0,2.68497037887573,0.397458553314209,4.27754020690918,0.961471438407898,5.71542930603027,32.4426536560059,89.3068771362305,0.0840485692024231,0.0314919948577881,0,0,
19,4.026493073,0,0,0,2.724720478,0,8.353404999,0,1.034105539,0,2.319119692,0,2.80374121665955,0.4243283867836,3.85961985588074,0.867738604545593,5.54247522354126,32.1852149963379,89.2761764526367,0.0970880538225174,0.0493812896311283,0,0,
20,4.433157921,0,0,0,3.358873606,0,8.474380493,0,1.087539077,0,2.523604393,0,2.91244864463806,0.450449049472809,3.51094746589661,0.786828458309174,5.37523794174194,31.9311046600342,89.2453002929688,0.111279703676701,0.070449635386467,0,0,
21,4.856714725,0,0,0,4.001353741,0,8.587580681,0,1.138836741,0,2.734097481,0,3.01271820068359,0.475734174251556,3.22395014762878,0.717284560203552,5.21357822418213,31.681131362915,89.2144317626953,0.126645535230637,0.094300776720047,0,0,
22,5.296601772,0,0,0,4.64981842,0,8.693652153,0,1.187930107,0,2.950165749,0,3.10576796531677,0.500117063522339,2.99184536933899,0.65781843662262,5.05736064910889,31.4360256195068,89.1837158203125,0.143204122781754,0.120576187968254,0,0,
23,5.752231598,0,0,0,5.302093983,0,8.793169975,0,1.234778404,0,3.171365738,0,3.19252038002014,0.523547887802124,2.80855393409729,0.607289493083954,4.90645503997803,31.1964225769043,89.1532821655273,0.160970628261566,0.148950964212418,0,0,
24,6.222992897,0,0,0,5.956166267,0,8.886650085,0,1.27936554,0,3.397243977,0,3.27368259429932,0.545992136001587,2.668625831604,0.564687728881836,4.7607364654541,30.9628715515137,89.1232147216797,0.179956838488579,0.179130181670189,0,0,
25,6.708253384,0,0,0,6.610167027,0,8.974556923,0,1.321697593,0,3.627343178,0,3.34980607032776,0.567428410053253,2.56717133522034,0.529118120670319,4.62008285522461,30.7358360290527,89.0936126708984,0.200171247124672,0.210845857858658,0,0,
26,7.207359314,0,0,0,7.262368202,0,9.057309151,0,1.361798406,0,3.861203671,0,3.42132997512817,0.58784693479538,2.49980211257935,0.499787092208862,4.48437643051147,30.5156955718994,89.0645217895508,0.221619054675102,0.243854030966759,0,0,
27,7.719638824,0,0,0,7.911171436,0,9.135284424,0,1.399708629,0,4.098364353,0,3.48861074447632,0.60724800825119,2.46257734298706,0.475990504026413,4.35350370407104,30.3027629852295,89.0359878540039,0.244302347302437,0.277932435274124,0,0,
28,8.244403839,0,0,0,8.555104256,0,9.208826065,0,1.43548131,0,4.33836937,0,3.55194759368896,0.625640690326691,2.45195627212524,0.457103163003922,4.22735452651978,30.0972805023193,89.008056640625,0.268220067024231,0.312878400087357,0,0,
29,8.780952454,0,0,0,9.192811966,0,9.278247833,0,1.469180703,0,4.580766201,0,3.61159682273865,0.643041431903839,2.46475625038147,0.442569583654404,4.10582208633423,29.8994274139404,88.9807510375977,0.293368101119995,0.348506927490234,0,0,
30,9.328567505,0,0,0,9.823050499,0,9.343833923,0,1.500879884,0,4.825110912,0,3.66778254508972,0.659472942352295,2.49811506271362,0.431895762681961,3.98880314826965,29.7093315124512,88.9540786743164,0.319739401340485,0.384649157524109,0,0,
