"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.587351024150848,1.30257999897003,9.02278804779053,7.68805694580078,7.73572492599487,13.3217401504517,75.3818817138672,0,0,45.2075500488281,16.4948501586914,
1,0,0.07277396321,0,0,0,0.1650641263,0,0.02464197017,0,0.214239195,0,0.3159170747,0.293816477060318,0.440704584121704,8.62228584289551,6.21021032333374,8.72193813323975,13.8352012634277,75.6191558837891,0,0,42.664005279541,13.418044090271,
2,0,0.2607918084,0,0,0,0.4769079387,0,0.06359326839,0,0.4042361975,0,0.6489164829,0.201713427901268,0.177946716547012,8.05875015258789,5.01930999755859,9.58138847351074,14.2460641860962,75.7195205688477,0,0,40.2644309997559,10.9174537658691,
3,0,0.5490021706,0,0,0,0.8748492599,0,0.1100279167,0,0.5731011629,0,0.9969768524,0.20447950065136,0.110287263989449,7.41303205490112,4.06027984619141,10.3248071670532,14.5815534591675,75.7595596313477,0,0,38.0014343261719,8.88662147521973,
4,0,0.9289098978,0,0,0,1.333348513,0,0.161501959,0,0.7230071425,0,1.357268095,0.251032620668411,0.10482294857502,6.7407693862915,3.28861999511719,10.9621648788452,14.8582220077515,75.7681045532227,0,0,35.8679580688477,7.23856496810913,
5,0,1.39372313,0,0,0,1.835921407,0,0.2165365815,0,0.8559169769,0,1.727072477,0.317119836807251,0.117961540818214,6.07933712005615,2.66836953163147,11.5027151107788,15.0873899459839,75.7574920654297,0,0,33.8572883605957,5.90234088897705,
6,0,1.937331676,0,0,0,2.370392799,0,0.274087429,0,0.9736346006,0,2.103861809,0.39121475815773,0.135532081127167,5.4528226852417,2.17046546936035,11.9550457000732,15.2776393890381,75.7340240478516,0,0,31.9630470275879,4.82011079788208,
7,0,2.553927422,0,0,0,2.927158117,0,0.333358109,0,1.077814937,0,2.485319138,0.467822045087814,0.153045952320099,4.87572431564331,1.77141606807709,12.3271188735962,15.4359512329102,75.7015151977539,0,0,30.1791839599609,3.94473099708557,
8,0,3.237837791,0,0,0,3.498365641,0,0.3937141895,0,1.169967055,0,2.869338036,0.544312417507172,0.169190615415573,4.35571384429932,1.4522317647934,12.6263132095337,15.5682277679443,75.6625900268555,0,0,28.4999446868896,3.23777389526367,
9,0,3.983450651,0,0,0,4.077471733,0,0.4546368718,0,1.251459241,0,3.25401783,0.61942595243454,0.183685451745987,3.89569449424744,1.1975599527359,12.8594646453857,15.679539680481,75.6191787719727,0,0,26.919864654541,2.66791677474976,
10,0,4.78518486,0,0,0,4.658972263,0,0.5156952143,0,1.323526144,0,3.63765645,0.692562520503998,0.196575403213501,3.4953191280365,0.994987547397614,13.0328979492188,15.7742614746094,75.5727462768555,0,0,25.4337482452393,2.20962643623352,
11,0,5.637482166,0,0,0,5.238223076,0,0.5765276551,0,1.387275338,0,4.01873827,0.763443171977997,0.207999035716057,3.15211057662964,0.834476470947266,13.1524639129639,15.8561515808105,75.5244216918945,0,0,24.036657333374,1.8420877456665,
12,0,6.534819126,0,0,0,5.811318398,0,0.6368297935,0,1.44369638,0,4.395924568,0.831947565078735,0.218112796545029,2.8622715473175,0.707908391952515,13.2235689163208,15.9284133911133,75.4750671386719,0,0,22.7238922119141,1.54833054542542,
13,0,7.471719742,0,0,0,6.374991417,0,0.6963449717,0,1.493670225,0,4.76803875,0.898035526275635,0.22706708312034601,2.62126779556274,0.608716726303101,13.2512063980103,15.9937543869019,75.4253540039063,0,0,21.4909858703613,1.31451857089996,
14,0,8.442778587,0,0,0,6.926543236,0,0.7548572421,0,1.537978053,0,5.134058475,0.961707651615143,0.234999299049377,2.42423915863037,0.531589388847351,13.2399835586548,16.0544376373291,75.3757858276367,0,0,20.3336868286133,1.12937021255493,
15,0,9.44268322,0,0,0,7.463776112,0,0.8121858835,0,1.577310681,0,5.493096828,1.02298629283905,0.242032438516617,2.26628184318542,0.472228556871414,13.1941471099854,16.1123313903809,75.3267669677734,0,0,19.2479419708252,0.983686447143555,
16,0,10.46623898,0,0,0,7.984941483,0,0.868180871,0,1.61227715,0,5.844398499,1.08190560340881,0.248275727033615,2.14263892173767,0.427156716585159,13.1176071166992,16.1689586639404,75.2785797119141,0,0,18.2299003601074,0.869966685771942,
17,0,11.50839138,0,0,0,8.48869133,0,0.922719121,0,1.643412828,0,6.187322617,1.13850629329681,0.253825694322586,2.04881906509399,0.393559634685516,13.0139617919922,16.2255363464355,75.2314453125,0,0,17.2758903503418,0.782096028327942,
18,0,12.56424999,0,0,0,8.974032402,0,0.9757012129,0,1.671187878,0,6.52133894,1.19283282756805,0.258767157793045,1.98066830635071,0.369159877300262,12.8865156173706,16.2830200195313,75.1855316162109,0,0,16.3824138641357,0.715089678764343,
19,0,13.62911129,0,0,0,9.44028759,0,1.027048826,0,1.696014047,0,6.846009731,1.24493229389191,0.263174742460251,1.93440544605255,0.352114260196686,12.738302230835,16.3421401977539,75.1409606933594,0,0,15.5461387634277,0.664885401725769,
20,0,14.94753742,0,0,0,9.60623455,0,1.062155604,0,1.717624307,0,7.151758671,1.29160189628601,0.267080724239349,1.90319287776947,0.340893745422363,12.5721015930176,16.4026050567627,75.0977935791016,0,0,14.7647037506104,0.626904964447021,
21,0,15.99920559,0,0,0,9.880639076,0,1.106472373,0,1.7354743480000001,0,7.422785759,1.33368480205536,0.270452827215195,1.88258147239685,0.334161013364792,12.3904829025269,16.4640846252441,75.0560302734375,0,0,14.0349807739258,0.598000764846802,
22,0,17.04056168,0,0,0,10.16704655,0,1.150035143,0,1.751960158,0,7.68977499,1.37512230873108,0.273378193378448,1.87256741523743,0.330896139144897,12.1957912445068,16.527063369751,75.0156631469727,0,0,13.3531541824341,0.57702374458313,
23,0,18.06393433,0,0,0,10.46117401,0,1.192465663,0,1.767096639,0,7.950590134,1.41564321517944,0.276013016700745,1.87194991111755,0.330390691757202,11.9901371002197,16.5918846130371,74.9767074584961,0,0,12.7164363861084,0.562584042549133,
24,0,19.07065964,0,0,0,10.76151085,0,1.233784437,0,1.78103888,0,8.205493927,1.4550553560257,0.278417646884918,1.87956893444061,0.332064986228943,11.7754421234131,16.6587924957275,74.9391784667969,0,0,12.1221771240234,0.553524851799011,
25,0,20.05901337,0,0,0,11.06598854,0,1.273901939,0,1.793885946,0,8.454035759,1.49327325820923,0.280625492334366,1.89435029029846,0.335450112819672,11.5534496307373,16.7279396057129,74.9030914306641,0,0,11.5678720474243,0.54888904094696,
26,0,21.02724266,0,0,0,11.37271881,0,1.312741876,0,1.805729628,0,8.695803642,1.53023493289948,0.282657563686371,1.91529750823975,0.340163826942444,11.3257389068604,16.7994194030762,74.8684387207031,0,0,11.0511474609375,0.547880172729492,
27,0,21.97077751,0,0,0,11.67904186,0,1.350127101,0,1.8166219,0,8.929731369,1.5658665895462,0.284528493881226,1.94148063659668,0.345891535282135,11.0937404632568,16.8732585906982,74.8352279663086,0,0,10.5697412490845,0.549829959869385,
28,0,22.89069557,0,0,0,11.98424053,0,1.386118174,0,1.826674342,0,9.156188011,1.60012054443359,0.28625163435936,1.97205102443695,0.352376341819763,10.8587427139282,16.9494323730469,74.8034362792969,0,0,10.121509552002,0.554179430007935,
29,0,23.78796005,0,0,0,12.28773785,0,1.420773625,0,1.8359828,0,9.375518799,1.63301587104797,0.287842392921448,2.00626492500305,0.359413594007492,10.6219043731689,17.027889251709,74.7730560302734,0,0,9.70443534851074,0.560468077659607,
30,0,24.65795708,0,0,0,12.58715153,0,1.453939676,0,1.844576836,0,9.586715698,1.66455030441284,0.289312481880188,2.04344654083252,0.366835445165634,10.3842649459839,17.1085376739502,74.7440719604492,0,0,9.31660079956055,0.568308055400848,
31,0,25.50429153,0,0,0,12.88301659,0,1.485784411,0,1.852560759,0,9.790785789,1.69473552703857,0.290672838687897,2.08299589157104,0.374506235122681,10.1467523574829,17.1912727355957,74.7164535522461,0,0,8.95619487762451,0.57737523317337,
32,0,26.32501793,0,0,0,13.17401886,0,1.516264081,0,1.859975338,0,9.987379074,1.72361528873444,0.291934698820114,2.12439584732056,0.382319122552872,9.91019439697266,17.2759666442871,74.6901931762695,0,0,8.62151336669922,0.587402760982513,
33,0,27.11818886,0,0,0,13.45890045,0,1.545338988,0,1.866856933,0,10.17616367,1.75119733810425,0.293105870485306,2.16717314720154,0.390185058116913,9.67532539367676,17.3624820709229,74.6652679443359,0,0,8.31093597412109,0.59816187620163,
34,0,27.88717079,0,0,0,13.73836517,0,1.573167205,0,1.873281479,0,10.35806179,1.7775194644928,0.294194847345352,2.2109227180481,0.398034483194351,9.44279384613037,17.4506664276123,74.6416473388672,0,0,8.02293586730957,0.60946387052536,
35,0,28.62728691,0,0,0,14.01025677,0,1.59961307,0,1.879251122,0,10.53209209,1.802610039711,0.295208543539047,2.25528430938721,0.405811011791229,9.21316814422607,17.5403633117676,74.6193084716797,0,0,7.75606966018677,0.621148765087128,
36,0,29.34441185,0,0,0,14.27631855,0,1.624917269,0,1.884848952,0,10.69975185,1.82651174068451,0.296153753995895,2.29995131492615,0.413471132516861,8.98694515228271,17.6314125061035,74.5982284545898,0,0,7.50897932052612,0.6330845952034,
37,0,30.03643227,0,0,0,14.53543091,0,1.649037838,0,1.890088677,0,10.86064816,1.84929537773132,0.297037839889526,2.34467768669128,0.420984238386154,8.76455497741699,17.7236595153809,74.5783843994141,0,0,7.28039503097534,0.645166754722595,
38,0,30.70125008,0,0,0,14.78647232,0,1.671932817,0,1.894982457,0,11.0144043,1.87097692489624,0.297864556312561,2.38922524452209,0.428322464227676,8.54636859893799,17.8169460296631,74.5597457885742,0,0,7.06910419464111,0.657300055027008,
39,0,31.34192848,0,0,0,15.03028584,0,1.693737388,0,1.899576664,0,11.16182518,1.89158928394318,0.298638314008713,2.4333930015564,0.435465008020401,8.3326997756958,17.911111831665,74.5422973632813,0,0,6.87396621704102,0.66940575838089,
40,0,31.95888519,0,0,0,15.26679039,0,1.71449542,0,1.903894782,0,11.30309868,1.91119182109833,0.299364179372787,2.47702527046204,0.442399144172668,8.12381362915039,18.0060043334961,74.5260009765625,0,0,6.69391584396362,0.681423425674438,
41,0,32.55249405,0,0,0,15.49587822,0,1.734243631,0,1.907957435,0,11.43839169,1.92983341217041,0.300046145915985,2.51999068260193,0.449115961790085,7.91992902755737,18.1014804840088,74.5108489990234,0,0,6.52795028686523,0.693302869796753,
42,0,33.12310791,0,0,0,15.71748352,0,1.753022552,0,1.911782265,0,11.56786537,1.94755637645721,0.30068764090538,2.56217813491821,0.455609679222107,7.72122240066528,18.1974010467529,74.4967956542969,0,0,6.37512588500977,0.705002665519714,
43,0,33.67104721,0,0,0,15.93152809,0,1.770863533,0,1.915385127,0,11.69166279,1.96439898014069,0.301291465759277,2.60349416732788,0.461876809597015,7.52783441543579,18.293628692627,74.4838409423828,0,0,6.23455429077148,0.716488242149353,
44,0,34.19914246,0,0,0,16.13895988,0,1.78788197,0,1.91879642,0,11.81049252,1.98041415214539,0.301861047744751,2.64387464523315,0.467917919158936,7.33987092971802,18.3900394439697,74.4719543457031,0,0,6.10540628433228,0.72773551940918,
45,0,34.7026062,0,0,0,16.3377285,0,1.80394578,0,1.921995878,0,11.92333889,1.99562418460846,0.30239799618721,2.68325066566467,0.473732262849808,7.1574068069458,18.4865055084229,74.4611053466797,0,0,5.98689460754395,0.738719940185547,
46,0,35.18673706,0,0,0,16.52978325,0,1.81924355,0,1.925026059,0,12.03144932,2.0100531578064,0.302904069423676,2.72156476974487,0.479320228099823,6.98048973083496,18.5829105377197,74.4512710571289,0,0,5.87827730178833,0.749421119689941,
47,0,35.65174866,0,0,0,16.71507645,0,1.833800316,0,1.927896142,0,12.13492107,2.02376341819763,0.303382605314255,2.75879740715027,0.484687477350235,6.80914258956909,18.6791458129883,74.4424362182617,0,0,5.77887153625488,0.759830892086029,
48,0,36.09784317,0,0,0,16.89358902,0,1.847640038,0,1.930613995,0,12.23384857,2.03679585456848,0.303835541009903,2.7949321269989,0.489839404821396,6.64336585998535,18.7751121520996,74.4345703125,0,0,5.6880350112915,0.769942462444305,
49,0,36.52272034,0,0,0,17.06428528,0,1.860705376,0,1.933171868,0,12.32776642,2.04916191101074,0.30426350235939,2.82994055747986,0.494778841733933,6.48314046859741,18.8707122802734,74.4276504516602,0,0,5.60515403747559,0.779745578765869,
50,0,36.93153,0,0,0,17.229129790000002,0,1.873169661,0,1.935606003,0,12.41785431,2.06089472770691,0.304668307304382,2.8638129234314,0.499511033296585,6.32843017578125,18.9658508300781,74.4216613769531,0,0,5.52965974807739,0.789235949516296,
51,0,37.32194519,0,0,0,17.38711739,0,1.884979248,0,1.937906981,0,12.50363827,2.07203769683838,0.305051892995834,2.89655590057373,0.50404292345047,6.1791820526123,19.0604496002197,74.4165725708008,0,0,5.46102380752563,0.798414587974548,
52,0,37.69410324,0,0,0,17.53820801,0,1.896147728,0,1.940079689,0,12.58518219,2.08260226249695,0.30541467666626,2.92816066741943,0.508378624916077,6.03533172607422,19.154426574707,74.4123764038086,0,0,5.39874029159546,0.80727744102478,
53,0,38.0530777,0,0,0,17.68439674,0,1.906838536,0,1.942157388,0,12.66362667,2.09263586997986,0.305758774280548,2.95864796638489,0.512526214122772,5.89680099487305,19.2477073669434,74.4090347290039,0,0,5.34234952926636,0.815830051898956,
54,0,38.39405441,0,0,0,17.82366562,0,1.916920424,0,1.944115162,0,12.73795128,2.1021671295166,0.306085377931595,2.98803544044495,0.51649272441864,5.76350259780884,19.3402328491211,74.4065399169922,0,0,5.29141759872437,0.824076950550079,
55,0,38.72204971,0,0,0,17.95799255,0,1.926551223,0,1.945984125,0,12.80927277,2.11121654510498,0.306395202875137,3.01633739471436,0.520284175872803,5.63534021377563,19.4319381713867,74.4048614501953,0,0,5.24553680419922,0.83202153444290206,
56,0,39.03471375,0,0,0,18.086383819999998,0,1.935669541,0,1.947753549,0,12.87710381,2.11981606483459,0.306689530611038,3.04358053207397,0.523908138275146,5.51220989227295,19.5227737426758,74.4039916992188,0,0,5.20432996749878,0.839671015739441,
57,0,39.33213806,0,0,0,18.20881462,0,1.944287539,0,1.949425936,0,12.94148731,2.12796902656555,0.306968361139297,3.06977248191834,0.527368724346161,5.39400100708008,19.6126842498779,74.4039001464844,0,0,5.16743421554565,0.847026824951172,
58,0,39.61684418,0,0,0,18.32627296,0,1.952486515,0,1.951017141,0,13.00298977,2.13569951057434,0.307232677936554,3.09493374824524,0.530671894550323,5.28059816360474,19.7016220092773,74.4045715332031,0,0,5.1345157623291,0.854094266891479,
59,0,39.88890457,0,0,0,18.43876266,0,1.960274339,0,1.952529669,0,13.06164265,2.1430387496948202,0.30748376250267,3.11909580230713,0.533824741840363,5.17188119888306,19.7895469665527,74.4059906005859,0,0,5.10526752471924,0.86088228225708,
60,0,40.15080643,0,0,0,18.54728127,0,1.967727661,0,1.953977942,0,13.11800098,2.15002131462097,0.307722955942154,3.14229917526245,0.536835432052612,5.06772613525391,19.8764247894287,74.4081268310547,0,0,5.0794095993042,0.867402493953705,
61,0,40.39776993,0,0,0,18.64981079,0,1.974718451,0,1.955337405,0,13.17104816,2.15665197372437,0.307950109243393,3.16456341743469,0.53970867395401,4.96800756454468,19.9622211456299,74.4109725952148,0,0,5.05666875839233,0.873659908771515,
62,0,40.63468933,0,0,0,18.74834061,0,1.981390715,0,1.956635714,0,13.22184944,2.16293597221375,0.308165401220322,3.18590450286865,0.542448461055756,4.87259817123413,20.0469055175781,74.4145050048828,0,0,5.03678798675537,0.879658460617065,
63,0,40.86161804,0,0,0,18.8428936,0,1.987747908,0,1.957874179,0,13.27043056,2.16891074180603,0.308370351791382,3.20636439323425,0.54506242275238,4.78136825561523,20.1304531097412,74.418701171875,0,0,5.01954078674316,0.885410368442535,
64,0,41.07858658,0,0,0,18.93343735,0,1.993797898,0,1.959053636,0,13.31680489,2.17459583282471,0.308565646409988,3.2259783744812,0.547556936740875,4.69418907165527,20.2128448486328,74.4235458374023,0,0,5.00471353530884,0.890925526618958,
65,0,41.28324509,0,0,0,19.01898575,0,1.999476314,0,1.960162282,0,13.36048603,2.17998719215393,0.30875089764595,3.24476099014282,0.549935162067413,4.61093044281006,20.2940578460693,74.4290237426758,0,0,4.99209785461426,0.896207511425018,
66,0,41.4804306,0,0,0,19.10152435,0,2.004924297,0,1.96122694,0,13.4025116,2.18510127067566,0.30892676115036,3.2627387046814,0.552201926708221,4.53146314620972,20.3740768432617,74.4351272583008,0,0,4.98150444030762,0.901263535022736,
67,0,41.66778183,0,0,0,19.18005943,0,2.010079622,0,1.96223557,0,13.44238758,2.18996429443359,0.309094250202179,3.27994799613953,0.554363310337067,4.45565843582153,20.4528884887695,74.4418334960938,0,0,4.97276258468628,0.906104147434235,
68,0,41.84533691,0,0,0,19.25458717,0,2.01494503,0,1.96318841,0,13.48013115,2.19457387924194,0.309253096580505,3.29640507698059,0.556422293186188,4.38338899612427,20.5304794311523,74.4491195678711,0,0,4.96570491790771,0.910733282566071,
69,0,42.01550674,0,0,0,19.32610321,0,2.019588947,0,1.964099288,0,13.5162611,2.19894623756409,0.309403896331787,3.31213712692261,0.558383405208588,4.31452894210815,20.6068382263184,74.4569778442383,0,0,4.96017980575562,0.915158689022064,
70,0,42.17832947,0,0,0,19.39461899,0,2.0240178109999998,0,1.964968681,0,13.55079174,2.20310568809509,0.309547662734985,3.3271818161010702,0.560252606868744,4.2489538192749,20.6819591522217,74.4653778076172,0,0,4.95605325698853,0.919391214847565,
71,0,42.33381653,0,0,0,19.46011353,0,2.028231382,0,1.965796947,0,13.58372879,2.20706582069397,0.309684723615646,3.34156966209412,0.562034606933594,4.18654155731201,20.7558441162109,74.4743270874023,0,0,4.95319890975952,0.923439741134644,
72,0,42.48199844,0,0,0,19.52260399,0,2.032232285,0,1.966584802,0,13.61508751,2.21083307266235,0.309815287590027,3.3553261756897,0.563733398914337,4.12717199325562,20.8284893035889,74.4837951660156,0,0,4.95149612426758,0.927311182022095,
73,0,42.62288284,0,0,0,19.58207893,0,2.036026001,0,1.967331886,0,13.64487171,2.21441221237183,0.309939384460449,3.36847352981567,0.565352261066437,4.07072734832764,20.8998928070068,74.4937744140625,0,0,4.95083379745483,0.931011497974396,
74,0,42.75650024,0,0,0,19.63853645,0,2.039610863,0,1.968039274,0,13.67309093,2.21780633926392,0.310057133436203,3.38102865219116,0.566893875598907,4.01709318161011,20.9700546264648,74.5042419433594,0,0,4.95110464096069,0.934545338153839,
75,0,42.88286209,0,0,0,19.69198036,0,2.042992592,0,1.968707323,0,13.69975662,2.22101807594299,0.310168623924255,3.39300680160522,0.568360507488251,3.96615648269653,21.0389747619629,74.5151977539063,0,0,4.95220994949341,0.937916457653046,
76,0,43.00436783,0,0,0,19.74341202,0,2.046233892,0,1.969348192,0,13.72537422,2.22406458854675,0.310274511575699,3.40443420410156,0.569756090641022,3.91780734062195,21.1066513061523,74.526611328125,0,0,4.95406246185303,0.941132545471191,
77,0,43.12102509,0,0,0,19.79284096,0,2.049337626,0,1.969962716,0,13.74995041,2.22696924209595,0.31037575006485,3.4153470993042,0.571085870265961,3.87193894386292,21.1730976104736,74.5384750366211,0,0,4.95658826828003,0.944204449653625,
78,0,43.23284531,0,0,0,19.84023666,0,2.052306414,0,1.970550776,0,13.77348804,2.22974419593811,0.310472637414932,3.42577600479126,0.572354078292847,3.82844758033752,21.2383213043213,74.55078125,0,0,4.95971870422363,0.947140753269196,
79,0,43.33746338,0,0,0,19.8846283,0,2.055076361,0,1.97110033,0,13.79549408,2.23238062858582,0.310564666986465,3.43573141098022,0.573562204837799,3.78723192214966,21.3023300170898,74.5635070800781,0,0,4.96337985992432,0.949943959712982,
80,0,43.43726349,0,0,0,19.92700386,0,2.057712317,0,1.971623898,0,13.8164711,2.23487424850464,0.310651689767838,3.44522261619568,0.574711441993713,3.74819421768188,21.3651275634766,74.5766525268555,0,0,4.96750211715698,0.952616214752197,
81,0,43.53226089,0,0,0,19.96736717,0,2.060216427,0,1.972121596,0,13.83642769,2.23723959922791,0.310734331607819,3.45427107810974,0.575804889202118,3.71123933792114,21.4267234802246,74.5901947021484,0,0,4.97202920913696,0.955163836479187,
