"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0.07277396321,0,0,0,0.1650641263,0,0.02464197017,0,0.214239195,0,0.3159170747,2.51834106445313,0.440942883491516,26.2760944366455,6.22987174987793,9.33809566497803,24.9749412536621,79.3143844604492,0,0,2.3768056416884e-4,7.4592797318473e-4,
1,0,0.2607918084,0,0,0,0.4769079387,0,0.06359326839,0,0.4042361975,0,0.6489164829,1.2336277961731,0.178025260567665,21.2325115203857,5.03518867492676,8.86986637115479,25.4317264556885,79.4707489013672,0,0,0.00131373596377671,0.00350783951580524,
2,0,0.5490021706,0,0,0,0.8748492599,0,0.1100279167,0,0.5731011629,0,0.9969768524,0.683164834976196,0.110313154757023,17.1708450317383,4.07310342788696,8.42514801025391,25.5975761413574,79.5654220581055,0,0,0.00388460932299495,0.00896197650581598,
3,0,0.9289098978,0,0,0,1.333348513,0,0.161501959,0,0.7230071425,0,1.357268095,0.473085552453995,0.104831486940384,13.9042873382568,3.2989764213562,8.00280666351318,25.5830268859863,79.6265640258789,0,0,0.00849290285259485,0.0172687713056803,
4,0,1.39372313,0,0,0,1.835921407,0,0.2165365815,0,0.8559169769,0,1.727072477,0.420125931501389,0.117964349687099,11.2814521789551,2.67673349380493,7.60178279876709,25.4514293670654,79.6661224365234,0,0,0.0156007604673505,0.0283688176423311,
5,0,1.937331676,0,0,0,2.370392799,0,0.274087429,0,0.9736346006,0,2.103861809,0.438997328281403,0.135533004999161,9.1797046661377,2.17722034454346,7.22108364105225,25.2417812347412,79.6901702880859,0,0,0.0256021823734045,0.042084276676178,
6,0,2.553927422,0,0,0,2.927158117,0,0.333358109,0,1.077814937,0,2.485319138,0.489987462759018,0.153046250343323,7.49970626831055,1.77687132358551,6.85977745056152,24.979793548584,79.7024307250977,0,0,0.0388300716876984,0.0581720769405365,
7,0,3.237837791,0,0,0,3.498365641,0,0.3937141895,0,1.169967055,0,2.869338036,0.55459451675415,0.169190734624863,6.16098070144653,1.45663738250732,6.51699018478394,24.6834297180176,79.7055053710938,0,0,0.0555611103773117,0.0763556063175201,
8,0,3.983450651,0,0,0,4.077471733,0,0.4546368718,0,1.251459241,0,3.25401783,0.624195635318756,0.183685481548309,5.09832334518433,1.20111799240112,6.19189977645874,24.3657703399658,79.7013320922852,0,0,0.0760195478796959,0.0963447913527489,
9,0,4.78518486,0,0,0,4.658972263,0,0.5156952143,0,1.323526144,0,3.63765645,0.694775104522705,0.196575418114662,4.25888919830322,0.997861087322235,5.88373231887817,24.0365982055664,79.6914138793945,0,0,0.10038046538829801,0.117849282920361,
10,0,5.637482166,0,0,0,5.238223076,0,0.5765276551,0,1.387275338,0,4.01873827,0.764469563961029,0.207999050617218,3.59984230995178,0.836797177791595,5.59175729751587,23.7033348083496,79.6769638061523,0,0,0.12877269089222,0.140586987137794,
11,0,6.534819126,0,0,0,5.811318398,0,0.6368297935,0,1.44369638,0,4.395924568,0.832423686981201,0.218112796545029,3.08644866943359,0.709782600402832,5.31528615951538,23.3716354370117,79.6589126586914,0,0,0.161281645298004,0.164289861917496,
12,0,7.471719742,0,0,0,6.374991417,0,0.6963449717,0,1.493670225,0,4.76803875,0.898256361484528,0.22706708312034601,2.69053888320923,0.610230386257172,5.05366563796997,23.0457992553711,79.6380157470703,0,0,0.19795198738575,0.188707396388054,
13,0,8.442778587,0,0,0,6.926543236,0,0.7548572421,0,1.537978053,0,5.134058475,0.961810111999512,0.234999299049377,2.3892617225647,0.53281182050705,4.80627822875977,22.7290554046631,79.6148910522461,0,0,0.238790333271027,0.213608935475349,
14,0,9.44268322,0,0,0,7.463776112,0,0.8121858835,0,1.577310681,0,5.493096828,1.02303373813629,0.242032438516617,2.16407632827759,0.473215818405151,4.57253694534302,22.4237976074219,79.5900115966797,0,0,0.283767938613892,0.238784655928612,
15,0,10.46623898,0,0,0,7.984941483,0,0.868180871,0,1.61227715,0,5.844398499,1.08192753791809,0.248275727033615,1.99993801116943,0.427954018115997,4.35188293457031,22.1317462921143,79.5637817382813,0,0,0.33282333612442,0.264046102762222,
