"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0.00701431511,0,0,0,0.07352296263,0,0.2198969722,0,0.02822379209,0,0.03847261518,0,9.81375026702881,1.2565701007843,48.3402137756348,12.5833740234375,17.4512310028076,34.6670570373535,99.0588912963867,1.55317902681418e-5,3.4523426438681e-4,0,0,
1,0.03721664846,0,0,0,0.4132878482,0,0.4547343552,0,0.0839092508,0,0.1170537844,0,7.08550691604614,0.73381108045578,42.4613914489746,11.0518941879272,16.8974304199219,35.6293144226074,99.2983093261719,1.1273679410805e-4,0.0025776622351259,0,0,
2,0.09874372929,0,0,0,0.9322367907,0,0.6899812818,0,0.1566732824,0,0.2253802419,0,5.15770864486694,0.444685786962509,37.3107109069824,9.70770931243896,16.3612079620361,36.3148765563965,99.4734039306641,4.0845456533134e-4,0.00849670264869928,0,0,
3,0.1972217411,0,0,0,1.588629723,0,0.9221888781,0,0.2412418127,0,0.3599431515,0,3.8080313205719,0.292739063501358,32.8042488098145,8.52826023101807,15.8420114517212,36.7849502563477,99.6040725708008,0.00104446639306843,0.0190184507519007,0,0,
4,0.3370821774,0,0,0,2.353658915,0,1.149730444,0,0.3337509632,0,0.5188336968,0,2.87556433677673,0.221594095230103,28.8674373626709,7.4937105178833,15.3393106460571,37.0864562988281,99.7029418945313,0.00217810971662402,0.0345859415829182,0,0,
5,0.5219615102,0,0,0,3.204816818,0,1.371706963,0,0.4311184585,0,0.700745225,0,2.24384951591492,0.19815132021904,25.4341316223145,6.58662509918213,14.8525972366333,37.2556343078613,99.7782745361328,0.00397713528946042,0.0553326644003391,0,0,
6,0.7548815608,0,0,0,4.12337923,0,1.587593198,0,0.5308250189,0,0.9045945406,0,1.82854890823364,0.202836930751801,22.4456977844238,5.79168128967285,14.3813848495483,37.3207206726074,99.8356552124023,0.00661609321832657,0.0811778455972672,0,0,
7,1.038344383,0,0,0,5.093208313,0,1.797084093,0,0.6308113933,0,1.129345894,0,1.56853306293488,0.223958969116211,19.8501663208008,5.0954122543335,13.9252080917358,37.3038749694824,99.8790283203125,0.0102734984830022,0.111889518797398,0,0,
8,1.374385834,0,0,0,6.100099564,0,2.00001502,0,0.7294155359,0,1.373923659,0,1.4194530248642,0.254442512989044,17.6014671325684,4.48598289489746,13.48362159729,37.2226219177246,99.911262512207,0.0151294581592083,0.147129133343697,0,0,
9,1.764608026,0,0,0,7.131402016,0,2.196316719,0,0.8253247142,0,1.637171984,0,1.34910559654236,0.289939731359482,15.6587467193604,3.9529881477356,13.0561990737915,37.090934753418,99.9345092773438,0.0213636066764593,0.186484470963478,0,0,
10,2.210199118,0,0,0,8.175775528,0,2.385986567,0,0.9175341725,0,1.917841196,0,1.33409285545349,0.327733546495438,13.9857625961304,3.48727965354919,12.6425333023071,36.9200248718262,99.9504165649414,0.0291532520204782,0.229494452476501,0,0,
