"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0.006290321238,0,0,0,0.00232395879,0,0.002109394874,0,0.001013917848,0,0.001366737997,0,10.7988386154175,1.6629821062088,40.7068634033203,10.4353656768799,16.8724212646484,34.2940635681152,86.7360229492188,1.39810117616435e-5,1.10773162305122e-5,0,0,
1,0.03195500001,0,0,0,0.01228735875,0,0.008993731812,0,0.005028693937,0,0.006789718755,0,8.70502281188965,1.12260830402374,36.9062461853027,9.46103954315186,16.4618301391602,34.8968391418457,86.9172592163086,9.83738718787208e-5,7.91500424384139e-5,0,0,
2,0.08265627921,0,0,0,0.03220924735,0,0.02098921314,0,0.01280934736,0,0.01735040359,0,7.01970529556274,0.759312570095062,33.4609870910645,8.57775974273682,16.0612335205078,35.3559608459473,87.0555725097656,3.4880489693023e-4,2.8000565362162e-4,0,0,
3,0.1621481478,0,0,0,0.06354565918,0,0.03826114163,0,0.02481688187,0,0.03378111497,0,5.6650857925415,0.516349196434021,30.3382511138916,7.77707529067993,15.6703929901123,35.6935882568359,87.1616439819336,8.776428294368e-4,6.9666269700974e-4,0,0,
4,0.2733152509,0,0,0,0.1073763371,0,0.06090025976,0,0.04135493562,0,0.05667845532,0,4.57856607437134,0.355516642332077,27.5083274841309,7.05133008956909,15.2890796661377,35.9283103942871,87.2429733276367,0.00180709210690111,0.00141243659891188,0,0,
5,0.4184806943,0,0,0,0.1645438373,0,0.08894753456,0,0.06260951608,0,0.0865682736,0,3.70976233482361,0.251094579696655,24.944314956665,6.39358758926392,14.9170751571655,36.0757713317871,87.3049163818359,0.00326558225788176,0.00250797346234322,0,0,
6,0.5995448828,0,0,0,0.2357152849,0,0.1224049106,0,0.08866590261,0,0.1239357442,0,3.01810121536255,0.185759752988815,22.6218566894531,5.7975640296936,14.5541687011719,36.1491966247559,87.3513565063477,0.00538530806079507,0.00405966211110353,0,0,
7,0.8180599809,0,0,0,0.3214149773,0,0.1612410545,0,0.1195178404,0,0.1692411304,0,2.47089052200317,0.147833287715912,20.5188999176025,5.25756692886353,14.2001600265503,36.1598091125488,87.3851852416992,0.00830035004764795,0.0061387219466269,0,0,
8,1.075272918,0,0,0,0.4220435321,0,0.2053950131,0,0.1550741792,0,0.222927779,0,2.0417640209198,0.129425391554832,18.6154689788818,4.76843881607056,13.8548574447632,36.1171646118164,87.4086074829102,0.0121451411396265,0.00881066638976336,0,0,
9,1.372152805,0,0,0,0.5378898382,0,0.2547787726,0,0.1951648444,0,0.2854254842,0,1.70943081378937,0.125184804201126,16.8934764862061,4.32550764083862,13.5180778503418,36.0294418334961,87.4233474731445,0.0170531533658504,0.0121349925175309,0,0,
10,1.709408522,0,0,0,0.6691393256,0,0.3092792928,0,0.2395473421,0,0.3571502864,0,1.45666944980621,0.131456658244133,15.3365383148193,3.92454242706299,13.1896467208862,35.9036636352539,87.430793762207,0.0231557451188564,0.0161650069057941,0,0,
11,2.087501287,0,0,0,0.8158795238,0,0.3687602282,0,0.2879137695,0,0.4385015666,0,1.26951825618744,0.145715594291687,13.9298143386841,3.56170964241028,12.8693981170654,35.7458839416504,87.4320983886719,0.0305811259895563,0.0209477487951517,0,0,
12,2.506654263,0,0,0,0.9781048894,0,0.4330634773,0,0.3398990929,0,0.5298576355,0,1.13662552833557,0.16618512570858,12.6598558425903,3.23353791236877,12.5571746826172,35.5613403320313,87.4282302856445,0.0394534133374691,0.0265239644795656,0,0,
13,2.966858625,0,0,0,1.155720353,0,0.5020107627,0,0.3950900733,0,0.6315689087,0,1.0487277507782,0.191582560539246,11.5144777297974,2.93688321113586,12.2528266906738,35.3545799255371,87.4200286865234,0.0498917698860168,0.0329281389713287,0,0,
14,3.467881918,0,0,0,1.348544598,0,0.5754051805,0,0.453034997,0,0.7439516783,0,0.998231709003448,0.22094900906086,10.4826335906982,2.66889810562134,11.9562110900879,35.1295623779297,87.4082260131836,0.0620095990598202,0.0401885360479355,0,0,
15,4.009272575,0,0,0,1.556313634,0,0.6530325413,0,0.5132542253,0,0.8672791123,0,0.978880405426025,0.253536820411682,9.55430889129639,2.42700362205505,11.6671915054321,34.8897476196289,87.3934478759766,0.0759138315916061,0.0483272932469845,0,0,
16,4.59036684,0,0,0,1.77868402,0,0.7346631885,0,0.5752503872,0,1.001774192,0,0.985486805438995,0.288735955953598,8.72041893005371,2.20886397361755,11.3856391906738,34.6381492614746,87.3762664794922,0.0917042195796967,0.0573604963719845,0,0,
17,5.210295677,0,0,0,2.015236378,0,0.8200532794,0,0.6385191679,0,1.14760077,0,1.01372170448303,0.32602658867836,7.97272157669067,2.01236295700073,11.1114320755005,34.3774223327637,87.3571929931641,0.109472751617432,0.0672983229160309,0,0,
18,5.867992401,0,0,0,2.265478849,0,0.9089466333,0,0.7025595307,0,1.304857254,0,1.05994582176208,0.364949285984039,7.30373239517212,1.83558344841003,10.8444519042969,34.1098785400391,87.3366622924805,0.129303082823753,0.0781451463699341,0,0,
19,6.562198639,0,0,0,2.528851509,0,1.001076221,0,0.7668828964,0,1.473569393,0,1.12107694149017,0.405087053775787,6.7066535949707,1.67678773403168,10.5845880508423,33.8375549316406,87.3150634765625,0.151270061731339,0.0898997262120247,0,0,
20,7.291476727,0,0,0,2.804730415,0,1.096166015,0,0.8310220838,0,1.653684855,0,1.19448530673981,0.446055322885513,6.17530536651611,1.53440022468567,10.3317337036133,33.5622329711914,87.2927398681641,0.175439238548279,0.102555327117443,0,0,
21,8.054216385,0,0,0,3.092431784,0,1.193932295,0,0.8945392966,0,1.845069647,0,1.27791213989258,0.487496733665466,5.70406532287598,1.4069916009903,10.0857877731323,33.2854690551758,87.2699813842773,0.201866522431374,0.116099968552589,0,0,
22,8.848647118,0,0,0,3.391217709,0,1.29408586,0,0.9570316076,0,2.047505379,0,1.3694052696228,0.52907931804657,5.28781461715698,1.29326450824738,9.84665203094482,33.0086326599121,87.2470397949219,0.230597868561745,0.130516573786736,0,0,
23,9.672848701,0,0,0,3.700300932,0,1.396333218,0,1.01813674,0,2.260688543,0,1.46726870536804,0.570496320724487,4.92188787460327,1.19204044342041,9.61423301696777,32.73291015625,87.22412109375,0.261669009923935,0.145783230662346,0,0,
24,10.52476597,0,0,0,4.018850327,0,1.50037837,0,1.077536464,0,2.484230518,0,1.57002389431,0.611467301845551,4.60202789306641,1.10224747657776,9.3884391784668,32.4593391418457,87.2014083862305,0.295105308294296,0.161873415112495,0,0,
25,11.40221786,0,0,0,4.345995903,0,1.605924845,0,1.134958386,0,2.717660427,0,1.67637920379639,0.651739180088043,4.32434463500977,1.02291011810303,9.1691837310791,32.1888046264648,87.1790390014648,0.330921560525894,0.178756266832352,0,0,
26,12.30291748,0,0,0,4.680835247,0,1.712676525,0,1.190177798,0,2.960429668,0,1.78520536422729,0.691087424755096,4.08528137207031,0.953139245510101,8.95638275146484,31.9220886230469,87.1571350097656,0.369121998548508,0.196396857500076,0,0,
27,13.22447968,0,0,0,5.022440434,0,1.820340157,0,1.243016124,0,3.211915493,0,1.89551627635956,0.729316890239716,3.88157868385315,0.892123579978943,8.7499532699585,31.6598415374756,87.1357879638672,0.409700274467468,0.21475650370121,0,0,
28,14.16444111,0,0,0,5.369861603,0,1.928625941,0,1.293340921,0,3.47142911,0,2.00645327568054,0.766262412071228,3.7102472782135,0.839121460914612,8.54981327056885,31.4026260375977,87.1150436401367,0.452639579772949,0.233793064951897,0,0,
29,15.12027645,0,0,0,5.722135067,0,2.037249327,0,1.341062188,0,3.738223076,0,2.1172730922699,0.801788568496704,3.56854033470154,0.793453991413116,8.35588455200195,31.1509113311768,87.0949554443359,0.497912734746933,0.253461241722107,0,0,
30,16.08940887,0,0,0,6.078289509,0,2.145932913,0,1.386129856,0,4.011496544,0,2.22733497619629,0.835788607597351,3.45393037796021,0.754498779773712,8.16808891296387,30.9050922393799,87.0755462646484,0.545482397079468,0.273712992668152,0,0,
31,17.06923103,0,0,0,6.437350273,0,2.254406452,0,1.428530693,0,4.290408134,0,2.33609318733215,0.86818391084671,3.36408734321594,0.721683979034424,7.98634815216064,30.6654891967773,87.0568313598633,0.595301330089569,0.294497787952423,0,0,
32,18.05711937,0,0,0,6.798346519,0,2.362409353,0,1.468282938,0,4.574086189,0,2.44308638572693,0.898921847343445,3.2968602180481,0.694483458995819,7.81058549880981,30.4323596954346,87.0388107299805,0.647312760353088,0.315762937068939,0,0,
33,19.05045128,0,0,0,7.160318375,0,2.469691038,0,1.505433083,0,4.861629009,0,2.54793095588684,0.927973926067352,3.25025939941406,0.672412097454071,7.64072370529175,30.2059059143066,87.0214614868164,0.701450765132904,0.337454169988632,0,0,
34,20.11285973,0,0,0,7.531026363,0,2.567045212,0,1.54155314,0,5.165274143,0,2.6501452922821,0.955495953559875,3.22262048721313,0.655081510543823,7.47668647766113,29.9862804412842,87.0047988891602,0.757787764072418,0.359557271003723,0,0,
35,21.01149178,0,0,0,7.856978416,0,2.662314892,0,1.570593119,0,5.42924118,0,2.74870824813843,0.981108903884888,3.21161341667175,0.641942143440247,7.31839942932129,29.7735385894775,86.98876953125,0.816017091274261,0.381842046976089,0,0,
36,21.90966988,0,0,0,8.182107925,0,2.756699085,0,1.597766876,0,5.69459486,0,2.84305286407471,1.00446653366089,3.21490836143494,0.632429122924805,7.16578245162964,29.5676746368408,86.9732894897461,0.875690877437592,0.404065430164337,0,0,
37,22.80196571,0,0,0,8.504457474,0,2.849669456,0,1.623050809,0,5.959601402,0,2.93341994285584,1.02589654922485,3.23111987113953,0.626208543777466,7.01874303817749,29.3686637878418,86.9583053588867,0.936731815338135,0.426218926906586,0,0,
38,23.69131088,0,0,0,8.825100899,0,2.941568851,0,1.646667123,0,6.225004673,0,3.02002143859863,1.04564154148102,3.2589750289917,0.622973203659058,6.87718725204468,29.1764678955078,86.9437637329102,0.999060392379761,0.448291152715683,0,0,
39,24.57230949,0,0,0,9.142113686,0,3.031883955,0,1.668607354,0,6.489073277,0,3.10304880142212,1.06388819217682,3.29730248451233,0.622440159320831,6.74102210998535,28.991039276123,86.9296340942383,1.06259512901306,0.470268189907074,0,0,
40,25.45063019,0,0,0,9.45755291,0,3.121231318,0,1.689137697,0,6.753393173,0,3.18269443511963,1.08079016208649,3.34503984451294,0.624352157115936,6.61015462875366,28.8123226165771,86.9158935546875,1.12725877761841,0.492138713598251,0,0,
41,26.32088852,0,0,0,9.769493103,0,3.209098816,0,1.708246708,0,7.016237736,0,3.25915002822876,1.0964789390564,3.40122437477112,0.628475308418274,6.48449039459229,28.6402492523193,86.9025115966797,1.19297802448273,0.513893723487854,0,0,
42,27.18322945,0,0,0,10.07800865,0,3.295536518,0,1.726054668,0,7.277549267,0,3.33256506919861,1.11105489730835,3.46494936943054,0.634589552879334,6.36393594741821,28.4747447967529,86.8894653320313,1.2596709728241,0.535516619682312,0,0,
43,28.03505325,0,0,0,10.38219738,0,3.380322695,0,1.74262023,0,7.536440849,0,3.40307712554932,1.12460505962372,3.53537535667419,0.642491102218628,6.24839735031128,28.3157234191895,86.8767471313477,1.32725429534912,0.556989133358002,0,0,
44,28.87921906,0,0,0,10.68309116,0,3.463777781,0,1.758101225,0,7.793690681,0,3.47082829475403,1.137211561203,3.61174082756042,0.651994585990906,6.13778066635132,28.1630992889404,86.8643417358398,1.39564847946167,0.578296303749084,0,0,
45,29.71313286,0,0,0,10.9797945,0,3.545677423,0,1.772543669,0,8.048426628,0,3.53596425056458,1.1489520072937,3.69335532188416,0.662931621074677,6.03199100494385,28.0167770385742,86.8522491455078,1.46477818489075,0.599426031112671,0,0,
46,30.53962517,0,0,0,11.27333164,0,3.626329184,0,1.786082387,0,8.301439285,0,3.59862804412842,1.15989804267883,3.77959394454956,0.675149142742157,5.9309344291687,27.8766574859619,86.8404541015625,1.5345721244812,0.620368421077728,0,0,
