"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0.2844294012,0,0,0,0.3676099777,0,0.1235507131,0,0.07209829241,0,0.1000827029,0,1.60690116882324,0.181311741471291,22.0447101593018,5.82815647125244,8.75911712646484,13.4452934265137,61.7117195129395,9.2293438501656e-4,0.00161671556998044,0,0,
1,0.9001759291,0,0,0,0.9787122607,0,0.2875081897,0,0.1953000873,0,0.2856399417,0,0.445053398609161,0.0360566042363644,16.7524700164795,4.42599105834961,8.20934867858887,14.1299648284912,61.8631477355957,0.00470924377441406,0.0072008348070085,0,0,
2,1.756917477,0,0,0,1.700324178,0,0.4663388133,0,0.3403559327,0,0.5306790471,0,0.155564084649086,0.0196069367229939,12.752025604248,3.36315202713013,7.6942024230957,14.4330282211304,61.9442291259766,0.0130373854190111,0.0174825135618448,0,0,
3,2.8100781440000002,0,0,0,2.482408047,0,0.6520419717,0,0.4935416281,0,0.8261436224,0,0.0987980589270592,0.0246485564857721,9.73498821258545,2.55833458900452,7.21164083480835,14.5352401733398,61.9868545532227,0.0270433891564608,0.0322348549962044,0,0,
4,4.026938438,0,0,0,3.294803858,0,0.8401668072,0,0.6461448073,0,1.165799141,0,0.104166977107525,0.0333416052162647,7.46624898910522,1.94975674152374,6.75978899002075,14.5140686035156,62.0041809082031,0.0475416034460068,0.0509255342185497,0,0,
5,5.380342484,0,0,0,4.116841316,0,1.027832389,0,0.7925106883,0,1.544043064,0,0.125740095973015,0.0424461960792542,5.76666021347046,1.49047136306763,6.33691358566284,14.4120721817017,62.0041999816895,0.075101301074028,0.0729096159338951,0,0,
6,6.846457958,0,0,0,4.933590412,0,1.213041186,0,0.9291424155,0,1.955323458,0,0.150868728756905,0.0512052960693836,4.49972057342529,1.14479529857635,5.94140815734863,14.2568597793579,61.9924392700195,0.110090777277946,0.0975199788808823,0,0,
7,8.403791428,0,0,0,5.73406601,0,1.394362092,0,1.054115415,0,2.394037724,0,0.175905048847198,0.0593573935329914,3.56141638755798,0.885596811771393,5.57177734375,14.0677881240845,61.9728507995605,0.152708292007446,0.124114535748959,0,0,
8,10.03270626,0,0,0,6.510205269,0,1.570757389,0,1.166639686,0,2.854595184,0,0.199718818068504,0.0667904615402222,2.87247562408447,0.692236125469208,5.22662591934204,13.858793258667,61.9482460021973,0.203006252646446,0.152101218700409,0,0,
9,11.715177539999999,0,0,0,7.256207466,0,1.741477251,0,1.266717434,0,3.3315382,0,0.221941784024239,0.0734661594033241,2.37247323989868,0.549002230167389,4.90464782714844,13.639949798584,61.9206008911133,0.260911643505096,0.180950403213501,0,0,
10,13.26373577,0,0,0,8.062654495,0,1.890474558,0,1.351944923,0,3.802199364,0,0.242040872573853,0.0793164223432541,2.01635479927063,0.443861126899719,4.60461568832397,13.4183406829834,61.891227722168,0.325689136981964,0.210615620017052,0,0,
11,15.14966583,0,0,0,8.501960754,0,2.030668736,0,1.426301718,0,4.275167465,0,0.2598797082901,0.0843709260225296,1.76602244377136,0.367623656988144,4.32535934448242,13.1986923217773,61.8610000610352,0.39757028222084,0.239578038454056,0,0,
12,17.02784157,0,0,0,8.962230682,0,2.169752121,0,1.492513537,0,4.7589674,0,0.276116102933884,0.0888072848320007,1.5920535326004,0.313378602266312,4.06578683853149,12.9843187332153,61.8305816650391,0.47718146443367,0.26646164059639,0,0,
13,18.87991524,0,0,0,9.433372498,0,2.306182384,0,1.550744057,0,5.246778488,0,0.291169017553329,0.0927285403013229,1.47631788253784,0.275885760784149,3.82489514350891,12.7776718139648,61.8004684448242,0.563930630683899,0.291839599609375,0,0,
14,20.69255066,0,0,0,9.907701492,0,2.438947439,0,1.60155642,0,5.733146191,0,0.305129498243332,0.0961699858307838,1.40484642982483,0.251120388507843,3.60172557830811,12.5804300308228,61.7709732055664,0.657159924507141,0.316087484359741,0,0,
15,22.45474243,0,0,0,10.37904167,0,2.567293167,0,1.645666003,0,6.213373184,0,0.318040877580643,0.0991702899336815,1.36686646938324,0.235988408327103,3.39536023139954,12.3936614990234,61.7422828674316,0.756173372268677,0.339441657066345,0,0,
