"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.696799993515015,0.946914970874786,5.94487380981445,5.27959680557251,4.57339477539063,4.53255605697632,48.9547309875488,35.9143104553223,10.219090461731,0,0,
1,0.2086479068,0,0,0,0.3924345374,0,0.1290165931,0,0.06793786585,0,0.09414412081,0,0.067038893699646,0.0248987060040236,5.02387380599976,3.80408120155334,5.30572605133057,5.24706506729126,49.2330131530762,33.4993133544922,7.9133825302124,0,0,
2,0.6543064713,0,0,0,0.9976773262,0,0.2828250527,0,0.1753137112,0,0.2542138696,0,0.0127943065017462,0.00166059762705117,4.20590972900391,2.74194622039795,5.91305303573608,5.73235845565796,49.2959518432617,31.2488651275635,6.13257741928101,0,0,
3,1.270132542,0,0,0,1.682670712,0,0.4424443245,0,0.297942549,0,0.4558024108,0,0.0133662996813655,0.00201466213911772,3.50354480743408,1.97802233695984,6.40936517715454,6.11016321182251,49.3129844665527,29.1532135009766,4.75941467285156,0,0,
4,2.023639202,0,0,0,2.401524305,0,0.6025761366,0,0.4257890582,0,0.6903691888,0,0.0194118842482567,0.00306729809381068,2.91533017158508,1.42921626567841,6.80734300613403,6.40978860855103,49.302375793457,27.2029399871826,3.70234036445618,0,0,
5,2.891221285,0,0,0,3.128065825,0,0.7604989409,0,0.5528516769,0,0.9522608519,0,0.0260234922170639,0.0041565638966858396,2.43279504776001,1.03561151027679,7.11846446990967,6.64850950241089,49.2742805480957,25.3890781402588,2.89016270637512,0,0,
6,3.853453636,0,0,0,3.845323086,0,0.9145928025,0,0.6753562093,0,1.236811638,0,0.0325656794011593,0.00522452825680375,2.04420471191406,0.75400310754776,7.35310411453247,6.83963060379028,49.2356986999512,23.7031269073486,2.26757884025574,0,0,
7,4.893410206,0,0,0,4.541768551,0,1.063837647,0,0.7909858823,0,1.539795637,0,0.0388693399727345,0.00624431204050779,1.73678004741669,0.553231835365295,7.52062940597534,6.99370956420898,49.1914482116699,22.1370391845703,1.79165041446686,0,0,
8,5.995921135,0,0,0,5.209525108,0,1.207584023,0,0.8984338045,0,1.857258916,0,0.0448527038097382,0.00720012048259377,1.49798178672791,0.410819053649902,7.62948513031006,7.11908912658691,49.1448097229004,20.6832065582275,1.42905068397522,0,0,
9,7.147203922,0,0,0,5.84334898,0,1.3454296589999999,0,0.9971020222,0,2.185486317,0,0.050472229719162,0.00808360707014799,1.31620514392853,0.310542196035385,7.68727684020996,7.22230911254883,49.0979614257813,19.334436416626,1.15392160415649,0,0,
