"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0.004289614502,0,0,0,0.02353660949,0,0.005135630257,0,0.06211899221,0,0.08587251604,9.91843223571777,1.25344169139862,45.0168914794922,9.66152095794678,22.1699600219727,54.3095512390137,118.619247436523,0,0,1.41562813951168e-5,1.1096107482444e-4,
1,0,0.02379303798,0,0,0,0.09803231806,0,0.01699648239,0,0.1472873688,0,0.2110327482,7.39595746994019,0.774716794490814,39.8771629333496,8.55911731719971,21.5098781585693,54.8328323364258,118.832633972168,0,0,1.0617564839776e-4,6.6728569800034e-4,
2,0,0.0647945255,0,0,0,0.2226828188,0,0.03415145725,0,0.2410719544,0,0.3596630692,5.55484485626221,0.503807842731476,35.328498840332,7.58386278152466,20.8694534301758,55.1297798156738,118.995445251465,0,0,3.9359839865937e-4,0.00207823421806097,
3,0,0.1318426281,0,0,0,0.3954738379,0,0.0559091717,0,0.3386495113,0,0.5276122093,4.22452831268311,0.359192043542862,31.3049449920654,6.72142219543457,20.2481060028076,55.2478713989258,119.123374938965,0,0,0.00102425925433636,0.00467781396582723,
4,0,0.2286359966,0,0,0,0.6140518785,0,0.08177711815,0,0.4372375607,0,0.7127212882,3.27705979347229,0.291062533855438,27.7480316162109,5.95906925201416,19.6452770233154,55.2244491577148,119.226448059082,0,0,0.00216634897515178,0.00872887019068003,
5,0,0.3583022058,0,0,0,0.8758632541,0,0.1113541201,0,0.534992218,0,0.913536191,2.61658835411072,0.268991440534592,24.6059055328369,5.28551578521729,19.0604305267334,55.0890617370605,119.311172485352,0,0,0.00400277925655246,0.0144313164055347,
6,0,0.5235255361,0,0,0,1.178201675,0,0.1442899406,0,0.6306221485,0,1.128899574,2.1713182926178,0.274360150098801,21.832576751709,4.69075107574463,18.4930553436279,54.8652420043945,119.381874084473,0,0,0.00672715343534946,0.0219299979507923,
7,0,0.7266142368,0,0,0,1.518233895,0,0.1802663952,0,0.7232061625,0,1.357783914,1.88745045661926,0.295747667551041,19.3872337341309,4.1658992767334,17.9426574707031,54.571834564209,119.441497802734,0,0,0.0105405664071441,0.0313217155635357,
8,0,0.9695384502,0,0,0,1.893019199,0,0.2189873308,0,0.812091589,0,1.599214315,1.72464215755463,0.326127141714096,17.2336559295654,3.7030885219574,17.4087657928467,54.2240524291992,119.492111206055,0,0,0.0156488958746195,0.0426613986492157,
9,0,1.253951788,0,0,0,2.299528599,0,0.2601730824,0,0.8968297839,0,1.852231979,1.6526095867157,0.361162602901459,15.339674949646,3.29533839225769,16.8909301757813,53.8342399597168,119.535224914551,0,0,0.0222604274749756,0.0559675134718418,
10,0,1.581204057,0,0,0,2.734664202,0,0.3035572171,0,0.9771318436,0,2.115877867,1.64859008789063,0.398172736167908,13.6767091751099,2.93645739555359,16.3887157440186,53.4124794006348,119.571952819824,0,0,0.0305836908519268,0.0712268352508545,
11,0,1.95234859,0,0,0,3.195280075,0,0.3488846421,0,1.052834749,0,2.389184952,1.69544780254364,0.435499995946884,12.2193489074707,2.62095260620117,15.9017124176025,52.9670600891113,119.603157043457,0,0,0.040825467556715,0.0883987173438072,
12,0,2.368145704,0,0,0,3.678202629,0,0.3959104717,0,1.123876929,0,2.671178818,1.78025817871094,0.472124874591827,10.944993019104,2.34395003318787,15.4295272827148,52.5048141479492,119.629516601563,0,0,0.0531889274716377,0.107418864965439,
13,0,2.829065561,0,0,0,4.180253506,0,0.4443994462,0,1.190276265,0,2.960879803,1.89325213432312,0.507429540157318,9.83352088928223,2.10112380981445,14.9717845916748,52.0314178466797,119.651580810547,0,0,0.0678718686103821,0.1282027810812,
14,0,3.335289717,0,0,0,4.698272228,0,0.4941256046,0,1.252114296,0,3.257308006,2.02702617645264,0.541051626205444,8.86701107025146,1.88863348960876,14.5281257629395,51.551586151123,119.669799804688,0,0,0.0850650742650032,0.150648877024651,
15,0,3.886713743,0,0,0,5.229137897,0,0.5448723435,0,1.309521914,0,3.559487581,2.17595314979553,0.572793483734131,8.02948951721191,1.70306885242462,14.0982103347778,51.0692596435547,119.684547424316,0,0,0.104950703680515,0.174641326069832,
16,0,4.482948303,0,0,0,5.769791603,0,0.596432209,0,1.362666726,0,3.866453171,2.33574199676514,0.602564990520477,7.30670499801636,1.54140067100525,13.681713104248,50.5877342224121,119.696144104004,0,0,0.127700865268707,0.200052738189697,
