"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0.03789306059,0,0,0,0.08664857596,0,0.01599074155,0,0.1483609378,0,0.2126680911,3.32963800430298,0.538332283496857,33.1312370300293,7.40430736541748,12.3677492141724,30.728931427002,88.6255416870117,0,0,1.2397434329614e-4,3.9438446401618e-4,
1,0,0.1515696347,0,0,0,0.2813926041,0,0.0443543531,0,0.3023552001,0,0.4634629786,1.76376307010651,0.228940784931183,27.1953620910645,6.07886791229248,11.7895317077637,31.2973766326904,88.8118057250977,0,0,7.3706498369574e-4,0.00199826457537711,
2,0,0.3405686915,0,0,0,0.5530762672,0,0.08018035442,0,0.4498073161,0,0.737533927,0.999200761318207,0.131042167544365,22.3323154449463,4.9933443069458,11.2383661270142,31.5403175354004,88.9310684204102,0,0,0.00230692443437874,0.0054352511651814,
3,0,0.6040055752,0,0,0,0.8861050606,0,0.1215508729,0,0.5880417824,0,1.030534029,0.648501217365265,0.111499778926373,18.3516731262207,4.1048731803894,10.7130165100098,31.5689659118652,89.0116806030273,0,0,0.00527125550433993,0.0110034681856632,
4,0,0.9406116605,0,0,0,1.269477248,0,0.1672506183,0,0.7161394358,0,1.339541554,0.511400520801544,0.120175562798977,15.0968389511108,3.37824940681458,10.2123193740845,31.451847076416,89.0668563842773,0,0,0.0100368047133088,0.0188261121511459,
5,0,1.348752618,0,0,0,1.694460273,0,0.2163848132,0,0.8339249492,0,1.662137985,0.484330266714096,0.138203516602516,12.4390525817871,2.7845618724823,9.73517608642578,31.2333717346191,89.1036376953125,0,0,0.0169786028563976,0.0289142858237028,
6,0,1.82644546,0,0,0,2.153697014,0,0.2682425976,0,0.9416103363,0,1.996156693,0.513652980327606,0.158511728048325,10.2724370956421,2.30006647109985,9.28055191040039,30.9438152313232,89.1263427734375,0,0,0.0264393575489521,0.041203860193491,
7,0,2.371376276,0,0,0,2.640779495,0,0.3222338259,0,1.039625883,0,2.33959651,0.571526527404785,0.178486958146095,8.50991439819336,1.90526139736176,8.84747123718262,30.6047554016113,89.1379470825195,0,0,0.0387289933860302,0.0555796325206757,
8,0,2.980920553,0,0,0,3.150020123,0,0.3778552115,0,1.128525019,0,2.690588474,0.643450617790222,0.197208538651466,7.07985305786133,1.58412730693817,8.43501281738281,30.2321281433105,89.1406555175781,0,0,0.0541243553161621,0.071892186999321,
9,0,3.652163982,0,0,0,3.676317453,0,0.4346702099,0,1.20892632,0,3.047381878,0.721836805343628,0.214401587843895,5.92331123352051,1.32350361347198,8.04230690002441,29.838020324707,89.1361770629883,0,0,0.0728690326213837,0.0899699702858925,
10,0,4.38192749,0,0,0,4.215073109,0,0.4922959805,0,1.281476259,0,3.408339739,0.80268806219101,0.230039104819298,4.99177265167236,1.11257672309875,7.66853284835815,29.431755065918,89.125862121582,0,0,0.0951733961701393,0.109628319740295,
11,0,5.166791916,0,0,0,4.762136459,0,0.5503946543,0,1.346822739,0,3.771934986,0.883879721164703,0.244188711047173,4.24528884887695,0.942459583282471,7.31291437149048,29.0205860137939,89.1107940673828,0,0,0.121214687824249,0.130676105618477,
12,0,6.003125191,0,0,0,5.313768387,0,0.6086671352,0,1.405599833,0,4.136753082,0.964269578456879,0.256952792406082,3.65095233917236,0.805847465991974,6.97471618652344,28.6101913452148,89.0918502807617,0,0,0.151137456297874,0.152920842170715,
