"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0.08325731009,0,0,0,0.1512106359,0,0.025848776100000002,0,0.2132083178,0,0.3142564297,1.44166100025177,0.240023270249367,28.2699890136719,6.52447748184204,9.57119083404541,22.7732944488525,77.4163208007813,0,0,2.7055578539148e-4,6.6914217313751e-4,
1,0,0.3007141352,0,0,0,0.4517750144,0,0.06771206856,0,0.4094663262,0,0.6589012742,0.493672668933868,0.0675978362560272,21.7812824249268,5.02820110321045,8.99769306182861,23.3339366912842,77.602165222168,0,0,0.00150181818753481,0.00320135103538632,
2,0,0.6359676123,0,0,0,0.8456308842,0,0.1181796417,0,0.5857871175,0,1.025438786,0.230810299515724,0.045174490660429,16.7953300476074,3.8786678314209,8.45859622955322,23.5214405059814,77.715087890625,0,0,0.00445407815277576,0.00829133298248053,
3,0,1.079577804,0,0,0,1.308072925,0,0.1745310724,0,0.7429884672,0,1.409569144,0.18141570687294,0.0513460114598274,12.9688577651978,2.99631071090698,7.95189046859741,23.4903583526611,77.7870178222656,0,0,0.00975726824253798,0.0161350332200527,
4,0,1.623882055,0,0,0,1.822747946,0,0.235097304,0,0.8824876547,0,1.807692885,0.198128178715706,0.0620320998132229,10.0370216369629,2.31982564926147,7.47570657730103,23.3186492919922,77.8307495117188,0,0,0.0179473161697388,0.0267068389803171,
5,0,2.261897802,0,0,0,2.377316952,0,0.2986863852,0,1.005870342,0,2.216594934,0.23480236530304,0.0725381746888161,7.79550838470459,1.80197668075562,7.02830171585083,23.053295135498,77.8537063598633,0,0,0.0294798668473959,0.039859373122453703,
6,0,2.986918211,0,0,0,2.961850166,0,0.3643805385,0,1.114734888,0,2.633363485,0.27692049741745,0.0820318534970284,6.0866847038269,1.4063640832901,6.60805225372314,22.7261600494385,77.8610763549805,0,0,0.0447382852435112,0.0553767085075378,
7,0,3.792336702,0,0,0,3.568071365,0,0.4314426482,0,1.210620165,0,3.055358171,0.319875150918961,0.0904475674033165,4.78891134262085,1.10493528842926,6.21344327926636,22.3601989746094,77.8567123413086,0,0,0.0640392899513245,0.0730062797665596,
8,0,4.671571255,0,0,0,4.188948154,0,0.4992655814,0,1.294970751,0,3.480191946,0.362182080745697,0.0978673696517944,3.80829811096191,0.876067817211151,5.84306049346924,21.9723625183105,77.843505859375,0,0,0.0876374095678329,0.0924791619181633,
9,0,5.618037701,0,0,0,4.818446159,0,0.5673416257,0,1.369118571,0,3.905718327,0.403352975845337,0.10439608246088,3.07235240936279,0.703092813491821,5.49558019638062,21.5752429962158,77.8236465454102,0,0,0.115728870034218,0.113523326814175,
10,0,6.625148773,0,0,0,5.451367378,0,0.6352427602,0,1.434277773,0,4.33001709,0.443224400281906,0.11013574898243,2.52508139610291,0.573158264160156,5.16976594924927,21.1781749725342,77.7988052368164,0,0,0.148455128073692,0.135872393846512,
11,0,7.686330318,0,0,0,6.083236694,0,0.7026064396,0,1.491543531,0,4.751379013,0.481743842363358,0.115180268883705,2.12321901321411,0.476352751255035,4.86445951461792,20.7880020141602,77.7702407836914,0,0,0.185906246304512,0.159271359443665,
12,0,8.795043945,0,0,0,6.71021843,0,0.7691258192,0,1.541897535,0,5.16829586,0.51889955997467,0.119614541530609,1.83331882953644,0.405031263828278,4.57857370376587,20.4096717834473,77.738899230957,0,0,0.228124156594276,0.183480307459831,
13,0,9.944815636,0,0,0,7.329048157,0,0.8345416784,0,1.586212397,0,5.579444885,0.55469673871994,0.12351456284523,1.62951242923737,0.353295534849167,4.31108808517456,20.0466842651367,77.7055206298828,0,0,0.275105983018875,0.208276748657227,
14,0,11.12926865,0,0,0,7.936976433,0,0.8986362815,0,1.625260949,0,5.983671665,0.589148461818695,0.126947909593582,1.4917825460434,0.316593766212463,4.06104326248169,19.7014198303223,77.6706466674805,0,0,0.326807230710983,0.23345685005188,
15,0,12.34215355,0,0,0,8.531720161,0,0.9612283111,0,1.659723639,0,6.379981518,0.622272431850433,0.129974335432053,1.40463185310364,0.291412442922592,3.82753682136536,19.3754138946533,77.6347122192383,0,0,0.383145064115524,0.258835971355438,
16,0,13.57738113,0,0,0,9.11141777,0,1.022168398,0,1.690197349,0,6.76752615,0.654088854789734,0.132646456360817,1.35605669021606,0.275038689374924,3.60971665382385,19.0695533752441,77.5980453491211,0,0,0.444001704454422,0.284248650074005,
17,0,14.82905006,0,0,0,9.67458725,0,1.081335902,0,1.717203736,0,7.145585537,0.684619843959808,0.13501039147377,1.33675599098206,0.265377312898636,3.40677905082703,18.7842388153076,77.560905456543,0,0,0.509227573871613,0.309548377990723,
18,0,16.09147835,0,0,0,10.22008896,0,1.138635039,0,1.741197348,0,7.513563156,0.713889122009277,0.137106463313103,1.33952021598816,0.260809719562531,3.21796345710754,18.5194969177246,77.5234832763672,0,0,0.578644454479218,0.334606796503067,
19,0,17.65629768,0,0,0,10.34259987,0,1.17561388,0,1.761188388,0,7.846897125,0.739134848117828,0.138925597071648,1.35399556159973,0.259992659091949,3.0425500869751,18.2737140655518,77.4859008789063,0,0,0.653014361858368,0.357522994279861,
20,0,18.89600372,0,0,0,10.70867252,0,1.22664845,0,1.778684139,0,8.161396027,0.761877596378326,0.140482515096664,1.37504601478577,0.261857897043228,2.87988471984863,18.0456638336182,77.4482192993164,0,0,0.731961250305176,0.377938777208328,
21,0,20.12505531,0,0,0,11.08664894,0,1.276565909,0,1.794716477,0,8.470580101,0.785556793212891,0.141861036419868,1.40382528305054,0.265695780515671,2.72934126853943,17.8355979919434,77.410530090332,0,0,0.814114809036255,0.39749339222908,
22,0,21.33343697,0,0,0,11.47134972,0,1.324924707,0,1.809331894,0,8.771900177,0.808988273143768,0.143112272024155,1.4386545419693,0.271001994609833,2.5902898311615,17.6432113647461,77.372932434082,0,0,0.899177610874176,0.416444480419159,
23,0,22.52270508,0,0,0,11.86140919,0,1.371775985,0,1.822717428,0,9.065792084,0.831757247447968,0.144253835082054,1.47817718982697,0.277380138635635,2.46212935447693,17.4679737091064,77.3354949951172,0,0,0.986843109130859,0.43496835231781,
24,0,23.68591499,0,0,0,12.25294399,0,1.416854739,0,1.834947705,0,9.350651741,0.85371595621109,0.145297512412071,1.52129662036896,0.284520357847214,2.34428524971008,17.309253692627,77.2983016967773,0,0,1.07680559158325,0.453182071447372,
25,0,24.82723808,0,0,0,12.64597511,0,1.460342526,0,1.846202612,0,9.627642632,0.874818742275238,0.146253809332848,1.56713151931763,0.292182356119156,2.23620867729187,17.1663761138916,77.2614135742188,0,0,1.16876900196075,0.471161991357803,
26,0,25.93974113,0,0,0,13.03692436,0,1.502005696,0,1.856533289,0,9.895251274,0.895055413246155,0.147132158279419,1.61496639251709,0.300179779529572,2.13737463951111,17.038646697998,77.2248764038086,0,0,1.262446641922,0.488953053951263,
27,0,27.02737236,0,0,0,13.42610359,0,1.542029738,0,1.866082549,0,10.15460873,0.914425134658813,0.147940635681152,1.66421437263489,0.308367609977722,2.04728078842163,16.9253559112549,77.1887435913086,0,0,1.35755956172943,0.506576657295227,
28,0,28.08323669,0,0,0,13.81011772,0,1.580205798,0,1.874882579,0,10.4042635,0.932933032512665,0.148686408996582,1.71438837051392,0.316632926464081,1.96544659137726,16.8257942199707,77.1530532836914,0,0,1.45383596420288,0.524036109447479,
29,0,29.11110115,0,0,0,14.18948078,0,1.616718769,0,1.883047104,0,10.64530849,0.950584471225739,0.149375572800636,1.76507902145386,0.324887424707413,1.89141201972961,16.7392501831055,77.1178436279297,0,0,1.55101072788239,0.541321396827698,
30,0,30.1093235,0,0,0,14.56285381,0,1.651560903,0,1.890631795,0,10.87754536,0.967415571212769,0.150014713406563,1.81596422195435,0.333066493272781,1.82473695278168,16.6650352478027,77.0831527709961,0,0,1.64884185791016,0.558420896530151,
31,0,31.07623672,0,0,0,14.92895031,0,1.684724689,0,1.897685409,0,11.10077763,0.983440816402435,0.150608509778976,1.86676299571991,0.341118931770325,1.76500010490417,16.6024627685547,77.0490188598633,0,0,1.74709105491638,0.575313687324524,
32,0,32.01272583,0,0,0,15.2875061,0,1.716295362,0,1.904266834,0,11.31539536,0.998681366443634,0.151161313056946,1.91724038124084,0.349005967378616,1.71179819107056,16.5508632659912,77.0154571533203,0,0,1.84553229808807,0.591976284980774,
33,0,32.91705322,0,0,0,15.63730145,0,1.7462641,0,1.910409689,0,11.52117538,1.01315975189209,0.151676923036575,1.96719706058502,0.356698453426361,1.66474545001984,16.5095901489258,76.9824981689453,0,0,1.94395065307617,0.608383357524872,
34,0,33.79251099,0,0,0,15.97913551,0,1.774792552,0,1.916175008,0,11.7190361,1.02691042423248,0.152159094810486,2.01647543907166,0.364176571369171,1.62347280979156,16.4780139923096,76.9501647949219,0,0,2.04214882850647,0.624512851238251,
35,0,34.63725662,0,0,0,16.31187439,0,1.80186975,0,1.921583414,0,11.90871525,1.03997027873993,0.15261122584343,2.06495070457459,0.371427625417709,1.58762729167938,16.4555320739746,76.9184722900391,0,0,2.13994693756104,0.640345811843872,
36,0,35.45192719,0,0,0,16.6353569,0,1.827562094,0,1.926667571,0,12.09050179,1.05236172676086,0.153035655617714,2.1125111579895,0.378441959619522,1.55687177181244,16.4415588378906,76.8874435424805,0,0,2.23717141151428,0.655861377716064,
37,0,36.23712158,0,0,0,16.94946671,0,1.851934075,0,1.931455612,0,12.26466656,1.0641143321991,0.153434798121452,2.15906763076782,0.38521420955658,1.5308837890625,16.4355373382568,76.8570938110352,0,0,2.33366417884827,0.671041667461395,
38,0,36.99337387,0,0,0,17.25412178,0,1.875047326,0,1.935971975,0,12.43145943,1.07525825500488,0.153810814023018,2.20454978942871,0.391742289066315,1.50935578346252,16.4369335174561,76.8274459838867,0,0,2.42928004264832,0.685871601104736,
39,0,37.72117996,0,0,0,17.54922104,0,1.896956801,0,1.940237164,0,12.59110641,1.08582258224487,0.154165551066399,2.2489025592804,0.398026496171951,1.49199414253235,16.4452304840088,76.7985076904297,0,0,2.52388596534729,0.700338304042816,
40,0,38.42100525,0,0,0,17.83468819,0,1.917713761,0,1.944269061,0,12.74381828,1.09583389759064,0.154500618577003,2.29208135604858,0.404068619012833,1.47851872444153,16.459939956665,76.7702865600586,0,0,2.61735987663269,0.714430809020996,
41,0,39.09326553,0,0,0,18.11046219,0,1.937369466,0,1.94808352,0,12.88978958,1.10531723499298,0.154817402362823,2.33405137062073,0.40987166762352,1.46866273880005,16.4805946350098,76.742790222168,0,0,2.70959067344666,0.72813969850540206,
42,0,39.73835754,0,0,0,18.37648773,0,1.955969691,0,1.951693654,0,13.02920151,1.11429643630981,0.155117109417915,2.37478542327881,0.415439426898956,1.46217179298401,16.5067462921143,76.7160339355469,0,0,2.80047607421875,0.741456925868988,
43,0,40.35905457,0,0,0,18.63372231,0,1.97362566,0,1.955124736,0,13.16273689,1.12280380725861,0.155401185154915,2.41427516937256,0.420778095722198,1.45880389213562,16.537971496582,76.6900100708008,0,0,2.88993048667908,0.754380226135254,
44,0,40.95326233,0,0,0,18.88112068,0,1.990307331,0,1.958372951,0,13.29002762,1.13086259365082,0.155670627951622,2.4525146484375,0.425893694162369,1.45832884311676,16.5738697052002,76.6647338867188,0,0,2.97787618637085,0.766907274723053,
45,0,41.52368927,0,0,0,19.11964989,0,2.006116867,0,1.961460233,0,13.41172409,1.13849139213562,0.155926197767258,2.48949909210205,0.430791884660721,1.4605278968811,16.6140575408936,76.6402130126953,0,0,3.06424164772034,0.779035985469818,
46,0,42.07059479,0,0,0,19.34927368,0,2.021088839,0,1.964393735,0,13.52794743,1.14571797847748,0.156168982386589,2.52523875236511,0.435480058193207,1.46519327163696,16.6581764221191,76.6164398193359,0,0,3.14896965026855,0.790768623352051,
47,0,42.59662628,0,0,0,19.57099533,0,2.035319567,0,1.967192888,0,13.63932323,1.15257143974304,0.1564000248909,2.5597550868988,0.43996673822403,1.47212791442871,16.7058887481689,76.5934143066406,0,0,3.23201584815979,0.802111506462097,
48,0,43.09722519,0,0,0,19.78274345,0,2.048705101,0,1.969837308,0,13.74493694,1.15906000137329,0.156619518995285,2.59305214881897,0.444257408380508,1.48114538192749,16.7568664550781,76.5711364746094,0,0,3.31333231925964,0.813064813613892,
49,0,43.57974243,0,0,0,19.98754692,0,2.061465025,0,1.972370028,0,13.84639549,1.16520404815674,0.156828209757805,2.62514662742615,0.448358952999115,1.49206864833832,16.8108062744141,76.5496063232422,0,0,3.39288306236267,0.823632955551147,
