"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,6.91654941e-6,0,0,0,0,0,0.04794337973,0,0.004529927857,0,0.006115037948,0,9.86228561401367,1.67476630210876,35.1437377929688,6.02501821517944,7.55813455581665,27.9712371826172,62.1184120178223,1.53895580723429e-8,0,0,0,
1,6.669863797e-5,0,0,0,0,0,0.1495976001,0,0.01410708483,0,0.01911838725,0,8.19221210479736,1.17999005317688,32.1514205932617,5.51211357116699,7.39040470123291,28.4406070709229,62.2563629150391,1.78528082983576e-7,0,0,0,
2,2.511019993e-4,0,0,0,0,0,0.2906451225,0,0.0273335427,0,0.0372454226,0,6.81985378265381,0.834576308727264,29.4140377044678,5.04302406311035,7.2263970375061,28.8089656829834,62.3639945983887,8.78014873251232e-7,0,0,0,
3,6.431824295e-4,0,0,0,0.04643816873,0,0.4185248017,0,0.04358065873,0,0.05978390574,0,5.69644737243652,0.594963192939758,26.9105625152588,4.61406230926514,7.06602907180786,29.0906429290771,62.4490814208984,2.83030112768756e-6,2.2230550530366e-4,0,0,
4,0.001334047643,0,0,0,0.1455274522,0,0.5230337381,0,0.0624188967,0,0.08629786968,0,4.7787971496582,0.430393844842911,24.6224937438965,4.22185087203979,6.90921974182129,29.2978839874268,62.5171890258789,7.10873518983135e-6,0.00111052114516497,0,0,
5,0.002421228681,0,0,0,0.2726780474,0,0.6257573962,0,0.08351114392,0,0.1164790243,0,4.03143835067749,0.319150030612946,22.5326976776123,3.86329460144043,6.75589036941528,29.4411659240723,62.5723304748535,1.51605181599734e-5,0.00295892124995589,0,0,
6,0.004007646348,0,0,0,0.4256700873,0,0.726467371,0,0.1065735891,0,0.1500906348,0,3.4257538318634,0.245887011289597,20.6251487731934,3.53556060791016,6.60596418380737,29.5295124053955,62.6174201965332,2.88170085696038e-5,0.0058927359059453,0,0,
7,0.00620087143,0,0,0,0.6025522947,0,0.8250178099,0,0.1313573271,0,0.1869398206,0,2.93791651725769,0.199752554297447,18.8851432800293,3.23605513572693,6.45936584472656,29.5707054138184,62.6545906066895,5.02996444993187e-5,0.00999990478157997,0,0,
8,0.009112553671,0,0,0,0.8015598655,0,0.9213160872,0,0.15763881800000001,0,0.2268626094,0,2.54808783531189,0.173060834407806,17.2991790771484,2.96240305900574,6.31602096557617,29.5714664459229,62.6854209899902,8.22226866148412e-5,0.015338416211307,0,0,
9,0.01285794843,0,0,0,1.021064997,0,1.0153054,0,0.1852142066,0,0.2697144151,0,2.23974680900574,0.160358130931854,15.854868888855,2.71243071556091,6.17585897445679,29.5376167297363,62.7110900878906,1.2759353558067e-4,0.0219419971108437,0,0,
10,0.01755550876,0,0,0,1.259544969,0,1.106954575,0,0.213896051,0,0.315364182,0,1.99913275241852,0.157764673233032,14.5408325195313,2.4841480255127,6.03880882263184,29.4742069244385,62.7325057983398,1.8981103494297e-4,0.0298246257007122,0,0,
11,0.02332652546,0,0,0,1.515560269,0,1.196251273,0,0.2435109764,0,0.363689661,0,1.81477987766266,0.162511065602303,13.3466215133667,2.27573299407959,5.90480184555054,29.3856296539307,62.7503700256348,2.7266226243227e-4,0.0389841683208942,0,0,
12,0.03029477783,0,0,0,1.787740469,0,1.283196926,0,0.2738982141,0,0.4145753086,0,1.67713165283203,0.172611892223358,12.2626361846924,2.08551788330078,5.77377080917358,29.275707244873,62.7652359008789,3.8031765143387e-4,0.0494053363800049,0,0,
13,0.03858621046,0,0,0,2.074773073,0,1.36780405,0,0.3049087226,0,0.4679096043,0,1.57821977138519,0.186635881662369,11.2800531387329,1.91197609901428,5.64565134048462,29.1477813720703,62.7775459289551,5.1732506835833e-4,0.0610621012747288,0,0,
14,0.04832862318,0,0,0,2.37539649,0,1.450093031,0,0.3364040852,0,0.5235835314,0,1.51139676570892,0.20354400575161,10.3907651901245,1.75370979309082,5.52037954330444,29.0047645568848,62.7876625061035,6.8860256578773e-4,0.0739197209477425,0,0,
15,0.05965134129,0,0,0,2.688393831,0,1.530091047,0,0.3682563305,0,0.5814899206,0,1.47111475467682,0.222575411200523,9.58731460571289,1.60943913459778,5.39789295196533,28.8492107391357,62.7958946228027,8.9943018974736e-4,0.0879364013671875,0,0,
