"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,2.202128235e-4,0,0,0,0,0,0.2406121045,0,0.0226545278,0,0.03081024624,0,4.5671067237854,0.721039831638336,24.0471153259277,3.31337213516235,2.84273958206177,16.484712600708,51.3962821960449,4.863788944931e-7,0,0,0,
1,0.0013329715,0,0,0,0.1239743233,0,0.4836985469,0,0.05682197958,0,0.07837731391,0,3.0183584690094,0.373440712690353,20.6600532531738,2.84686422348022,2.73832011222839,17.0174427032471,51.4695892333984,3.89264960176661e-6,5.7619018480181e-4,0,0,
2,0.003821273101,0,0,0,0.3665835857,0,0.6736876369,0,0.09648323804,0,0.1353052855,0,2.0275547504425,0.202558234333992,17.7555751800537,2.44655346870422,2.63773632049561,17.3642444610596,51.5056762695313,1.50829382619122e-5,0.00276197330094874,0,0,
3,0.008066301234,0,0,0,0.6716558933,0,0.8463719487,0,0.1395311505,0,0.1992617697,0,1.40020966529846,0.122336409986019,15.2682104110718,2.10318040847778,2.54084730148315,17.5752429962158,51.5202598571777,4.05879400204867e-5,0.00713598821312189,0,0,
4,0.01439735107,0,0,0,1.023870587,0,1.00518775,0,0.1847159266,0,0.26893121,0,1.01008343696594,0.0887050107121468,13.1408262252808,1.80877554416656,2.44751787185669,17.6858692169189,51.5217819213867,8.81824889802374e-5,0.0138500388711691,0,0,
5,0.02310908586,0,0,0,1.412856817,0,1.15230763,0,0.2311793119,0,0.3434174061,0,0.774592339992523,0.0790634378790855,11.3240165710449,1.55648231506348,2.35761833190918,17.721549987793,51.5149269104004,1.6663249698467e-4,0.0229117162525654,0,0,
6,0.0344700329,0,0,0,1.830900073,0,1.289270043,0,0.2782896161,0,0.4220405221,0,0.639701843261719,0.0817880555987358,9.77509880065918,1.34040427207947,2.27102327346802,17.7008419036865,51.5024070739746,2.8551145805977e-4,0.0342433154582977,0,0,
7,0.04872741923,0,0,0,2.271924734,0,1.417242408,0,0.3255645931,0,0.5042479038,0,0.570051252841949,0.0908723771572113,8.45721435546875,1.1554703712463399,2.18761277198792,17.6375179290771,51.4858894348145,4.5505544403567e-4,0.0477157384157181,0,0,
8,0.06611011177,0,0,0,2.730962038,0,1.537152886,0,0.3726291656,0,0.5895688534,0,0.54249769449234,0.103189632296562,7.3385443687439,0.997320115566254,2.10727143287659,17.5419807434082,51.4664688110352,6.8604247644543e-4,0.0631696507334709,0,0,
9,0.08683048189,0,0,0,3.203841925,0,1.649763823,0,0.4191886485,0,0.6775882244,0,0.541893362998962,0.117093861103058,6.39161682128906,0.862203598022461,2.02988815307617,17.4222049713135,51.4449043273926,9.8968879319727e-4,0.0804293006658554,0,0,
10,0.111085631,0,0,0,3.686998844,0,1.75571692,0,0.4650114477,0,0.7679325342,0,0.558324158191681,0.131704479455948,5.59271478652954,0.746896147727966,1.95535683631897,17.2844085693359,51.4217643737793,0.00137755647301674,0.0993116721510887,0,0,
11,0.139058128,0,0,0,4.177343369,0,1.85556221,0,0.5099161863,0,0.8602597713,0,0.5853031873703,0.146539643406868,4.92135858535767,0.648624420166016,1.88357508182526,17.1334915161133,51.3974838256836,0.00186147063504905,0.119632758200169,0,0,
12,0.1709164679,0,0,0,4.672171116,0,1.949778438,0,0.5537625551,0,0.9542536736,0,0.618588745594025,0.16132789850235,4.35986232757568,0.565003097057343,1.81444501876831,16.9733638763428,51.3724098205566,0.00245344336144626,0.141211673617363,0,0,
13,0.2068153322,0,0,0,5.169099331,0,2.038786888,0,0.5964437127,0,1.049620152,0,0.655410706996918,0.175910949707031,3.89294862747192,0.493980497121811,1.74787247180939,16.8071670532227,51.3468246459961,0.00316560245119035,0.163873478770256,0,0,
14,0.2468957007,0,0,0,5.666017056,0,2.12296176,0,0.6378808022,0,1.146083355,0,0.693964302539825,0.190193042159081,3.50741791725159,0.43379157781601,1.6837671995163,16.6374435424805,51.3209609985352,0.00401012506335974,0.187450915575027,0,0,
15,0.2912847996,0,0,0,6.161046505,0,2.202638388,0,0.6780175567,0,1.243385792,0,0.733078479766846,0.204114481806755,3.1918625831604,0.382917791604996,1.62204253673553,16.4662551879883,51.2950134277344,0.00499917427077889,0.211785510182381,0,0,
16,0.3400960267,0,0,0,6.652517319,0,2.27811861,0,0.7168172002,0,1.341285467,0,0.771998524665833,0.217637255787849,2.93642163276672,0.340052485466003,1.56261575222015,16.2952785491943,51.2691383361816,0.00614483980461955,0.236728206276894,0,0,
17,0.3934288621,0,0,0,7.138938904,0,2.349676609,0,0.7542586923,0,1.439555168,0,0.810243844985962,0.230737328529358,2.73256802558899,0.304071098566055,1.50540709495544,16.1258735656738,51.243465423584,0.00745907891541719,0.262139648199081,0,0,
18,0.4513686597,0,0,0,7.618984222,0,2.417562008,0,0.7903343439,0,1.537982821,0,0.847514271736145,0.243400126695633,2.57292675971985,0.274005681276321,1.45034039020538,15.9591426849365,51.2181053161621,0.00895366258919239,0.287890136241913,0,0,
19,0.5139864683,0,0,0,8.091471672,0,2.482002497,0,0.8250468969,0,1.636369348,0,0.88362854719162,0.255617827177048,2.45111656188965,0.249022975564003,1.39734244346619,15.7959671020508,51.1931457519531,0.0106401210650802,0.313859462738037,0,0,
20,0.5813388228,0,0,0,8.555353165,0,2.543207645,0,0.8584082723,0,1.734529495,0,0.918484032154083,0.267387628555298,2.36161518096924,0.228405475616455,1.3463431596756,15.6370534896851,51.1686630249023,0.0125296926125884,0.339936763048172,0,0,
21,0.6534675956,0,0,0,9.009702682,0,2.601370335,0,0.8904375434,0,1.832290411,0,0.952029943466187,0.278710603713989,2.29964184761047,0.211535304784775,1.2972754240036,15.4829530715942,51.1447143554688,0.0146332737058401,0.366020083427429,0,0,
22,0.7303999066,0,0,0,9.453702927,0,2.656668663,0,0.921159327,0,1.929491997,0,0.984249889850616,0.289590924978256,2.26105690002441,0.197880193591118,1.25007498264313,15.3340892791748,51.1213417053223,0.0169613696634769,0.392016023397446,0,0,
23,0.8121477962,0,0,0,9.886642456,0,2.709267616,0,0.9506032467,0,2.025985718,0,1.01514995098114,0.300035148859024,2.24227547645569,0.186981573700905,1.2046799659729,15.1907787322998,51.0985870361328,0.0195240508764982,0.41783943772316,0,0,
24,0.8987081647,0,0,0,10.30790424,0,2.759319782,0,0.9788020253,0,2.121634722,0,1.04475104808807,0.310051620006561,2.24019193649292,0.178444281220436,1.16103148460388,15.0532474517822,51.0764808654785,0.022330904379487,0.443412721157074,0,0,
25,0.9900628924,0,0,0,10.71695805,0,2.806967497,0,1.005791545,0,2.216313839,0,1.07308375835419,0.319650292396545,2.25211596488953,0.171927735209465,1.11907279491425,14.9216461181641,51.0550346374512,0.0253909938037395,0.468665838241577,0,0,
26,1.08617866,0,0,0,11.11335754,0,2.852343082,0,1.031609416,0,2.309907913,0,1.10018479824066,0.328842103481293,2.27571654319763,0.167138293385506,1.07874965667725,14.7960596084595,51.0342750549316,0.0287128202617168,0.493535459041595,0,0,
27,1.187006712,0,0,0,11.49673176,0,2.895570278,0,1.056294203,0,2.402312279,0,1.12609434127808,0.337638884782791,2.30897450447083,0.163822785019875,1.04001009464264,14.6765203475952,51.0142097473145,0.0323042720556259,0.517965018749237,0,0,
28,1.292483449,0,0,0,11.86678123,0,2.93676424,0,1.07988596,0,2.493432522,0,1.1508549451828,0.346053063869476,2.35014081001282,0.161762848496437,1.00280427932739,14.5630121231079,50.9948425292969,0.0361726097762585,0.541903972625732,0,0,
29,1.402530193,0,0,0,12.22327518,0,2.976033211,0,1.102425098,0,2.583183289,0,1.17450988292694,0.35409754514694203,2.39770078659058,0.160770133137703,0.967084228992462,14.4554862976074,50.9761810302734,0.0403244160115719,0.565307438373566,0,0,
30,1.517053366,0,0,0,12.5660429,0,3.013478279,0,1.123951316,0,2.671488285,0,1.19710290431976,0.361785441637039,2.45034384727478,0.160682126879692,0.932804226875305,14.3538570404053,50.9582214355469,0.0447655506432056,0.588136196136475,0,0,
31,1.635944843,0,0,0,12.8949728,0,3.049194098,0,1.144504666,0,2.758280277,0,1.21867728233337,0.369129866361618,2.50693607330322,0.161358624696732,0.899920284748077,14.2580165863037,50.9409599304199,0.0495011508464813,0.610356092453003,0,0,
32,1.759082198,0,0,0,13.21000862,0,3.083269835,0,1.164124846,0,2.843499184,0,1.23927569389343,0.376144051551819,2.56649804115295,0.162678629159927,0.868390262126923,14.1678352355957,50.9243965148926,0.0545355826616287,0.631937623023987,0,0,
33,1.886329055,0,0,0,13.51114368,0,3.115789413,0,1.182850242,0,2.927093983,0,1.25893986225128,0.382841110229492,2.62818455696106,0.164537698030472,0.838173568248749,14.0831670761108,50.908519744873,0.059872429817915,0.652856111526489,0,0,
34,2.01753521,0,0,0,13.79841995,0,3.146831512,0,1.200718999,0,3.009019852,0,1.27771055698395,0.38923391699791,2.69126749038696,0.166845723986626,0.809231340885162,14.0038499832153,50.8933258056641,0.0655144527554512,0.673090755939484,0,0,
35,2.152538061,0,0,0,14.07192326,0,3.176470041,0,1.217767835,0,3.08923912,0,1.29562711715698,0.39533519744873,2.75512075424194,0.169524922966957,0.7815260887146,13.9297132492065,50.8788070678711,0.0714635998010635,0.692624926567078,0,0,
36,2.291162014,0,0,0,14.33178043,0,3.204774857,0,1.23403275,0,3.167720795,0,1.31272757053375,0.401157230138779,2.81920719146729,0.17250819504261,0.755021929740906,13.8605785369873,50.8649520874023,0.077720955014228807,0.711445689201355,0,0,
37,2.433219433,0,0,0,14.57815647,0,3.231812239,0,1.249548197,0,3.244439363,0,1.32904875278473,0.406712114810944,2.88306832313538,0.175737649202347,0.729684174060822,13.7962617874146,50.8517570495605,0.0842867642641068,0.72954350709915206,0,0,
38,2.578511477,0,0,0,14.81125259,0,3.257644176,0,1.26434803,0,3.319376469,0,1.34462594985962,0.412011563777924,2.94631361961365,0.179163366556168,0.705479502677917,13.7365741729736,50.8392066955566,0.0911604017019272,0.746912181377411,0,0,
39,2.72682929,0,0,0,15.0313015,0,3.282329559,0,1.278464437,0,3.392518044,0,1.35949313640594,0.417066901922226,3.00861239433289,0.182742312550545,0.68237578868866,13.6813259124756,50.8272895812988,0.0983403697609901,0.763548493385315,0,0,
40,2.877953768,0,0,0,15.23856449,0,3.305923462,0,1.291928411,0,3.463853836,0,1.37368309497833,0.421889066696167,3.06968712806702,0.186437427997589,0.660342037677765,13.6303272247314,50.8159942626953,0.105824306607246,0.779452085494995,0,0,
41,3.031656742,0,0,0,15.4333334,0,3.328478575,0,1.304769993,0,3.533380032,0,1.38722681999207,0.42648857831955,3.12930607795715,0.190216809511185,0.639348328113556,13.5833854675293,50.8053092956543,0.113608971238136,0.794625163078308,0,0,
42,3.187701941,0,0,0,15.61592102,0,3.350044489,0,1.317017794,0,3.601096392,0,1.40015435218811,0.43087562918663,3.18727803230286,0.194053038954735,0.619365692138672,13.5403118133545,50.7952270507813,0.121690258383751,0.809072494506836,0,0,
