"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0,0,0,0,0,0,0,0,0,0,0,0.309127986431122,1.73419201374054,6.69352197647095,5.53066492080688,6.19608116149902,4.55530691146851,52.6453514099121,37.323070526123,9.91767597198486,0,0,
1,0.003534798743,0,0,0,0,0,0.2000891268,0,0.01917024702,0,0.02603426576,0,0.232029110193253,1.00379037857056,6.75416564941406,4.86062002182007,7.1570258140564,4.87085199356079,52.7388534545898,35.5582542419434,8.38512516021729,0,0,
2,0.01804261841,0,0,0,0,0,0.5380418301,0,0.05194514245,0,0.07150561363,0,0.201875418424606,0.58657443523407,6.67309045791626,4.2720799446106,8.03293323516846,5.16310977935791,52.7684097290039,33.8769302368164,7.08939552307129,0,0,
3,0.04680046067,0,0,0,0.196238026,0,0.7547198534,0,0.0922960788,0,0.12920627,0,0.208569914102554,0.352278113365173,6.49100732803345,3.75530767440796,8.82907485961914,5.43471622467041,52.7584266662598,32.275203704834,5.99481296539307,0,0,
4,0.09199218452,0,0,0,0.5197014809,0,0.8949949741,0,0.1378158778,0,0.1966689974,0,0.236153021454811,0.224852740764618,6.2421932220459,3.30170321464539,9.55043697357178,5.68761968612671,52.7236289978027,30.7493782043457,5.07181453704834,0,0,
5,0.1553020328,0,0,0,0.8971267939,0,1.017076969,0,0.1869634986,0,0.2724667788,0,0.276387721300125,0.159991905093193,5.95228099822998,2.9036922454834,10.2017335891724,5.92348432540894,52.6730422973633,29.2959423065186,4.29473638534546,0,0,
6,0.238091141,0,0,0,1.313145041,0,1.125431776,0,0.2386112064,0,0.3556090593,0,0.325291007757187,0.131848216056824,5.64036417007446,2.55460739135742,10.7874212265015,6.14387893676758,52.6123123168945,27.9115543365479,3.6414647102356,0,0,
7,0.3414774239,0,0,0,1.756393909,0,1.222898006,0,0.2918818891,0,0.4453289211,0,0.380026310682297,0.125301450490952,5.32091808319092,2.24858117103577,11.311710357666,6.35028982162476,52.5450668334961,26.5930404663086,3.093177318573,0,0,
8,0.4663780928,0,0,0,2.217950106,0,1.311432004,0,0.3460721076,0,0.5409866571,0,0.438541114330292,0.131468802690506,5.00473737716675,1.98045122623444,11.778582572937,6.54412031173706,52.4737129211426,25.3373775482178,2.63386511802673,0,0,
9,0.6135346889,0,0,0,2.690536499,0,1.392459035,0,0.400609374,0,0.6420203447,0,0.499331921339035,0.145099624991417,4.69968128204346,1.74567520618439,12.191798210144,6.72669172286987,52.3998985290527,24.1416912078857,2.24991679191589,0,0,
10,0.7835285068,0,0,0,3.168072939,0,1.467060685,0,0.4550249875,0,0.7479180098,0,0.561286091804504,0.163063704967499,4.4112811088562,1.54025661945343,12.5549116134644,6.89923620223999,52.3247947692871,23.003246307373,1.92976188659668,0,0,
11,0.9767907858,0,0,0,3.64539957,0,1.53608346,0,0.5089353919,0,0.8582014441,0,0.623573482036591,0.183473512530327,4.14322805404663,1.36067891120911,12.8712778091431,7.06289720535278,52.2492599487305,21.9194374084473,1.66356456279755,0,0,
12,1.193609953,0,0,0,4.118098736,0,1.600206375,0,0.5620281696,0,0.972416997,0,0.685570895671844,0.205173999071121,3.89777135848999,1.20384740829468,13.1440658569336,7.21872568130493,52.1739387512207,20.8877830505371,1.44296431541443,0,0,
13,1.434136629,0,0,0,4.582370758,0,1.659984827,0,0.6140514612,0,1.090129852,0,0.746808767318726,0.22744545340538,3.67604064941406,1.06703841686249,13.3762693405151,7.36768054962158,52.0993270874023,19.9059238433838,1.26085388660431,0,0,
14,1.698387623,0,0,0,5.034945488,0,1.715880871,0,0.6648049355,0,1.210920572,0,0.806933522224426,0.249830231070518,3.47830724716187,0.94785487651825,13.5707120895386,7.51062822341919,52.0258102416992,18.9716091156006,1.11119079589844,0,0,
15,1.986249804,0,0,0,5.4730196,0,1.768284202,0,0.714132309,0,1.33438468,0,0.865680158138275,0.272030889987946,3.30419492721558,0.844186305999756,13.7300605773926,7.64834690093994,51.9536895751953,18.0826969146729,0.988838315010071,0,0,
16,2.297483444,0,0,0,5.894203186,0,1.817526817,0,0.7619151473,0,1.460130215,0,0.922851800918579,0.293850094079971,3.15284967422485,0.754174470901489,13.8568296432495,7.78152799606323,51.8832130432129,17.2371425628662,0.889428615570068,0,0,
17,2.63172555,0,0,0,6.29648304,0,1.863895059,0,0.8080673814,0,1.58777976,0,0.978305697441101,0.315154850482941,3.02307534217834,0.676182925701141,13.9533920288086,7.91078090667725,51.814567565918,16.4330005645752,0.809248208999634,0,0,
18,2.988493681,0,0,0,6.678187847,0,1.907637596,0,0.852530241,0,1.716968775,0,1.0319412946701,0.335854977369308,2.91344308853149,0.608770310878754,14.0219850540161,8.03663730621338,51.7478942871094,15.6684122085571,0.745140314102173,0,0,
