"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,334.1063843,0,0,0,66.11439514,0,17.90526009,0,6.683785439,0,86.14019775,0,5.62661552429199,1.41106498241425,15.1405410766602,4.08919858932495,32.5724639892578,65.3819274902344,225.250289916992,16.0857009887695,3.38079524040222,0,0,
1,334.6035461,0,0,0,66.18340302,0,17.91583824,0,6.692997932,0,86.25901794,0,5.63200426101685,1.41304039955139,15.1564283370972,4.09506607055664,32.6406326293945,65.4873657226563,225.410202026367,16.1118450164795,3.38395118713379,0,0,
2,335.0987854,0,0,0,66.252120970000007,0,17.92636108,0,6.702174664,0,86.377388,0,5.63734579086304,1.41499698162079,15.1725187301636,4.10090017318726,32.7082252502441,65.5921859741211,225.570922851563,16.137752532959,3.3871750831604,0,0,
3,335.5881042,0,0,0,66.31997681,0,17.93674278,0,6.711239815,0,86.494308470000007,0,5.64264154434204,1.41693675518036,15.1887617111206,4.10669803619385,32.7752456665039,65.6963958740234,225.732467651367,16.1634311676025,3.39044952392578,0,0,
4,336.0734558,0,0,0,66.38722992,0,17.94701958,0,6.720231056,0,86.6102829,0,5.64788722991943,1.41885805130005,15.2051067352295,4.11245679855347,32.8417015075684,65.8000106811523,225.894775390625,16.1888790130615,3.39375877380371,0,0,
5,336.5548401,0,0,0,66.45391846,0,17.95720482,0,6.729147911,0,86.72529602,0,5.65308475494385,1.4207626581192,15.2215156555176,4.11817502975464,32.9075889587402,65.9030303955078,226.057876586914,16.2141017913818,3.39709138870239,0,0,
6,337.0323181,0,0,0,66.51998901,0,17.96728706,0,6.73799181,0,86.8393631,0,5.65823602676392,1.42265117168427,15.2379570007324,4.12385177612305,32.9729156494141,66.0054550170898,226.221740722656,16.2391014099121,3.40043807029724,0,0,
7,337.5038452,0,0,0,66.58522797,0,17.97723579,0,6.746725082,0,86.95199585,0,5.66333627700806,1.42452144622803,15.2543983459473,4.12948417663574,33.0376853942871,66.107292175293,226.386352539063,16.2638778686523,3.40378952026367,0,0,
8,337.9714355,0,0,0,66.64987946,0,17.98708153,0,6.755384445,0,87.06368256,0,5.66838407516479,1.42637288570404,15.2708139419556,4.13507080078125,33.1019058227539,66.2085418701172,226.551696777344,16.2884273529053,3.40713810920715,0,0,
9,338.4350586,0,0,0,66.71393585,0,17.99684143,0,6.763968945,0,87.17440033,0,5.6733832359314,1.42820739746094,15.287184715271,4.14061117172241,33.1655731201172,66.309211730957,226.717788696289,16.3127555847168,3.41047930717468,0,0,
10,338.8947754,0,0,0,66.77741241,0,18.00649452,0,6.772480965,0,87.28418732,0,5.67833471298218,1.43002569675446,15.3034944534302,4.14610528945923,33.2286949157715,66.409294128418,226.884582519531,16.3368663787842,3.41380882263184,0,0,
11,339.3504944,0,0,0,66.8403244,0,18.01605606,0,6.780918121,0,87.39300537,0,5.68324136734009,1.43182814121246,15.3197326660156,4.1515531539917,33.2912750244141,66.5087890625,227.05207824707,16.3607597351074,3.41712379455566,0,0,
12,339.8023071,0,0,0,66.90264893,0,18.02552605,0,6.789283276,0,87.50088501,0,5.68810272216797,1.43361508846283,15.3358860015869,4.15695524215698,33.3533172607422,66.6076889038086,227.220275878906,16.3844413757324,3.42042136192322,0,0,
13,340.2501526,0,0,0,66.96440887,0,18.03490067,0,6.797573566,0,87.60781097,0,5.69291973114014,1.43538641929626,15.3519468307495,4.16231155395508,33.4148216247559,66.7060089111328,227.38916015625,16.4079132080078,3.42369937896729,0,0,
14,340.6920776,0,0,0,67.0253067,0,18.04413795,0,6.805752754,0,87.71330261,0,5.69768810272217,1.43713963031769,15.3679027557373,4.16762018203735,33.4757995605469,66.8037338256836,227.558731079102,16.4311714172363,3.42695450782776,0,0,
