"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0.0245412644,0,0,0,0,0,0.4649151266,0,0.3067014515,0,0.471037358,7.0562744140625,0.623443365097046,48.8936462402344,10.8433704376221,21.3577499389648,58.5982666015625,146.580612182617,0,0,7.1914641011972e-5,0,
1,0,0.1170921177,0,0,0,0.4344585538,0,0.9071205258,0,0.5582278967,0,0.9640482664,4.07120132446289,0.289034426212311,40.1947479248047,8.91757678985596,20.3661251068115,59.3491630554199,146.862808227539,0,0,4.8303350922651e-4,0.00197880133055151,
2,0,0.2918612957,0,0,0,1.297870278,0,1.164536834,0,0.7695649266,0,1.48085475,2.73330736160278,0.190330848097801,33.0658264160156,7.33900308609009,19.4205532073975,59.593563079834,147.060211181641,0,0,0.00165510096121579,0.00951242167502642,
3,0,0.5574691296,0,0,0,2.372476816,0,1.381741881,0,0.9478365779,0,2.0167746540000002,2.18850827217102,0.17657458782196,27.2357215881348,6.04596996307373,18.5189189910889,59.5243225097656,147.205230712891,0,0,0.00405378499999642,0.0245157163590193,
4,0,0.9200057387,0,0,0,3.597506046,0,1.571000934,0,1.098430037,0,2.567076683,2.03335785865784,0.191345661878586,22.4782657623291,4.98774766921997,17.6592197418213,59.253719329834,147.313369750977,0,0,0.00816249568015337,0.0472899489104748,
5,0,1.383881927,0,0,0,4.92945528,0,1.739165545,0,1.225736976,0,3.127448082,2.06405258178711,0.213839083909988,18.6062850952148,4.12260627746582,16.8395614624023,58.8503074645996,147.393188476563,0,0,0.0144690806046128,0.0776071697473526,
6,0,1.952200651,0,0,0,6.334433079,0,1.890590072,0,1.333428264,0,3.694067001,2.17828154563904,0.236653864383698,15.464940071106,3.41621685028076,16.0581531524658,58.3581657409668,147.450149536133,0,0,0.0234568323940039,0.11492799222469301,
7,0,2.62695241,0,0,0,7.784780979,0,2.028275251,0,1.424602151,0,4.263591766,2.32533621788025,0.257394343614578,12.9261455535889,2.84033560752869,15.3132991790771,57.8071403503418,147.488189697266,0,0,0.0355976447463036,0.158529877662659,
8,0,3.409130812,0,0,0,9.257330894,0,2.154407024,0,1.501882911,0,4.833122253,2.48065996170044,0.275499701499939,10.8839206695557,2.37172532081604,14.6033983230591,57.2183570861816,147.510360717773,0,0,0.0513464510440826,0.207588955760002,
9,0,4.298810005,0,0,0,10.73239517,0,2.270644426,0,1.567495108,0,5.400158882,2.63286352157593,0.291051924228668,9.25054836273193,1.99126589298248,13.9269380569458,56.6073188781738,147.519104003906,0,0,0.0711365267634392,0.261234611272812,
10,0,5.295199871,0,0,0,12.19314861,0,2.378286123,0,1.623323202,0,5.962558746,2.77710700035095,0.30433189868927,7.95339488983154,1.68322467803955,13.2824897766113,55.9856758117676,147.51643371582,0,0,0.0953754484653473,0.318586766719818,
11,0,6.396692753,0,0,0,13.62521076,0,2.478373528,0,1.670961618,0,6.518498421,2.91174602508545,0.315657556056976,6.9322943687439,1.43465495109558,12.6687021255493,55.3623161315918,147.504028320313,0,0,0.124441586434841,0.378781795501709,
12,0,7.600906372,0,0,0,15.0163517,0,2.571759462,0,1.711755872,0,7.066426277,3.0366382598877,0.325328230857849,6.13738441467285,1.23490273952484,12.0843000411987,54.7440643310547,147.483276367188,0,0,0.158680975437164,0.440990447998047,
