"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0,0.001893006382,0,0,0,0.02019007504,0,0.003456327831,0,0.05321244895,0,0.07328864932,0,0,24.7060241699219,5.7325496673584,7.55712795257568,15.8438196182251,58.4339218139648,0,0,6.06761432209169e-6,8.42173685668968e-5,
1,0,0.01060884912,0,0,0,0.07797899097,0,0.01100050844,0,0.1208676472,0,0.1712500751,0,0,16.5175457000732,3.83297157287598,6.90418910980225,16.4098892211914,58.6669387817383,0,0,4.56916568509769e-5,4.7271748189814e-4,
2,0,0.02906861529,0,0,0,0.1698908359,0,0.0216121804,0,0.1935311705,0,0.2828369737,0,0,11.0458545684814,2.56382250785828,6.30766582489014,16.5053768157959,58.7969284057617,0,0,1.6949613927863e-4,0.00138884701300412,
3,0,0.05941428244,0,0,0,0.293173492,0,0.03483498096,0,0.2683695555,0,0.4052171707,0,0,7.39108324050903,1.71619057655334,5.76268577575684,16.3022003173828,58.8580474853516,0,0,4.4059671927243e-4,0.0029743209015578,
4,0,0.1034087241,0,0,0,0.44538939,0,0.05036142841,0,0.3438206315,0,0.5369204879,0,0,4.95162153244019,1.15040588378906,5.26480054855347,15.9147138595581,58.8731689453125,0,0,9.2996604507789e-4,0.00531389424577355,
5,0,0.1625642627,0,0,0,0.6242687702,0,0.06795302778,0,0.4188730717,0,0.6769790649,0,0,3.32524991035461,0.773092687129974,4.80994653701782,15.4188117980957,58.8576278686523,0,0,0.00171383563429117,0.00845156796276569,
6,0,0.2382029295,0,0,0,0.8276411891,0,0.08741027862,0,0.4928222001,0,0.8246566057,0,0,2.24304056167603,0.521824181079865,4.39441537857056,14.8646831512451,58.8217239379883,0,0,0.00287189474329352,0.012401856482029,
7,0,0.3314892054,0,0,0,1.05339992,0,0.1085584834,0,0.5651593804,0,0.9793356061,0,0,1.52517175674438,0.354864209890366,4.01482009887695,14.2853336334229,58.772388458252,0,0,0.00448592007160187,0.017157819122076,
8,0,0.4434490502,0,0,0,1.299483061,0,0.1312400699,0,0.6355131269,0,1.140464783,0,0,1.0513881444931,0.244308635592461,3.6680691242218,13.7022886276245,58.7142791748047,0,0,0.00663867266848683,0.0226968508213758,
9,0,0.5749816298,0,0,0,1.563863397,0,0.1553100348,0,0.7036124468,0,1.30752933,0,0,0.741254210472107,0.171500280499458,3.35134053230286,13.1294031143188,58.6505432128906,0,0,0.00941297505050898,0.0289849303662777,
10,0,0.7268661857,0,0,0,1.844545245,0,0.1806332469,0,0.7692645192,0,1.480037689,0,0,0.540953576564789,0.123963594436646,3.0620584487915,12.5754146575928,58.5833129882813,0,0,0.0128909153863788,0.035979725420475,
11,0,0.8997665048,0,0,0,2.139563799,0,0.20708251,0,0.8323373795,0,1.657511473,0,0,0.414464682340622,0.09335558116436,2.7978720664978,12.0456438064575,58.514030456543,0,0,0.0171531476080418,0.0436329431831837,
12,0,1.094233513,0,0,0,2.446987391,0,0.2345374078,0,0.8927481174,0,1.839481831,0,0,0.337661981582642,0.0740958377718925,2.556636095047,11.5431385040283,58.443675994873,0,0,0.0222782660275698,0.0518920533359051,
13,0,1.310706377,0,0,0,2.76492238,0,0.2628834844,0,0.9504536986,0,2.025486946,0,0,0.294372856616974,0.0624508298933506,2.33639287948608,11.0694398880005,58.3729248046875,0,0,0.0283422376960516,0.0607016757130623,
14,0,1.549513698,0,0,0,3.091517687,0,0.2920116186,0,1.005443215,0,2.215071678,0,0,0.273741751909256,0.0559216402471066,2.13535618782043,10.6250886917114,58.3022384643555,0,0,0.035417877137661,0.0700046047568321,
15,0,1.810873508,0,0,0,3.424970388,0,0.3218176961,0,1.057732344,0,2.407786846,0,0,0.268468290567398,0.0528347603976727,1.95189607143402,10.2099714279175,58.23193359375,0,0,0.0435743890702724,0.0797426477074623,
16,0,2.094894171,0,0,0,3.763532639,0,0.3522022963,0,1.10735774,0,2.603190184,0,0,0.273629814386368,0.0520684756338596,1.7845253944397,9.82354831695557,58.1622276306152,0,0,0.0528769008815289,0.0898572951555252,
17,0,2.401573896,0,0,0,4.105517864,0,0.3830704093,0,1.154373288,0,2.800848007,0,0,0.285894274711609,0.052870012819767,1.63188755512238,9.46500873565674,58.0932769775391,0,0,0.063386082649231,0.100290298461914,
18,0,2.730802059,0,0,0,4.449307919,0,0.4143314362,0,1.198846817,0,3.000334263,0,0,0.302994340658188,0.0547332651913166,1.49274492263794,9.13337230682373,58.0251922607422,0,0,0.0751577615737915,0.110984139144421,
19,0,3.082360268,0,0,0,4.793356895,0,0.4458989501,0,1.240856528,0,3.201233864,0,0,0.323375910520554,0.0573171004652977,1.36596834659576,8.82755947113037,57.9580535888672,0,0,0.0882425829768181,0.121882423758507,
20,0,3.455921888,0,0,0,5.136201382,0,0.4776907265,0,1.280488491,0,3.403142452,0,0,0.345963418483734,0.0603907406330109,1.25052785873413,8.54643630981445,57.891918182373,0,0,0.102685734629631,0.132930278778076,
