"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0.005879869685,0,0,0,0.2324325591,0,0.04218178615,0,0.02636221983,0,0.03590749949,0,8.56720352172852,1.5380448102951,58.4611663818359,12.1994657516479,16.8603515625,38.0694923400879,103.776786804199,1.30509715745575e-5,0.00110191991552711,0,0,
1,0.03110321984,0,0,0,0.7343223095,0,0.1110858619,0,0.08129807562,0,0.1132874563,0,6.66092348098755,0.99347323179245,52.4140434265137,10.9353694915771,16.4047813415527,38.9244651794434,103.978782653809,9.45503998082131e-5,0.00552352610975504,0,0,
2,0.08237928897,0,0,0,1.425137281,0,0.1947724372,0,0.1550371498,0,0.2228710204,0,5.20500612258911,0.658790171146393,47.0111198425293,9.8031644821167,15.9615249633789,39.5827751159668,104.129829406738,3.4217428765259e-4,0.0149510838091373,0,0,
3,0.164337337,0,0,0,2.266184807,0,0.2889308333,0,0.2421978116,0,0.3615207076,0,4.10320854187012,0.461475640535355,42.1908912658691,8.78945255279541,15.5302515029907,40.0775566101074,104.244598388672,8.7436259491369e-4,0.0302583388984203,0,0,
4,0.2806225121,0,0,0,3.230341434,0,0.3909451663,0,0.3386359811,0,0.527587831,0,3.27946758270264,0.354231148958206,37.8973999023438,7.88220119476318,15.1106481552124,40.4363288879395,104.33309173584,0.00182258209679276,0.0518788732588291,0,0,
5,0.4342288673,0,0,0,4.296050549,0,0.4989569485,0,0.4409233034,0,0.7199672461,0,2.67370271682739,0.306068927049637,34.0798645019531,7.07061529159546,14.7024116516113,40.6820297241211,104.40225982666,0.00332710961811244,0.0799519047141075,0,0,
6,0.6276501417,0,0,0,5.445056915,0,0.6115352511,0,0.5461813807,0,0.9377203584,0,2.23842597007751,0.296549320220947,30.6922397613525,6.34500694274902,14.3052530288696,40.8338432312012,104.456985473633,0.00553407985717058,0.114407502114773,0,0,
7,0.8629593849,0,0,0,6.661332607,0,0.7275249362,0,0.6520106792,0,1.17989254,0,1.9360671043396,0.312075942754745,27.6927738189697,5.69668674468994,13.9188947677612,40.9078598022461,104.500747680664,0.00859317649155855,0.155023440718651,0,0,
8,1.141854405,0,0,0,7.930505753,0,0.8459653854,0,0.7564477324,0,1.445420504,0,1.73687601089478,0.343517243862152,25.043607711792,5.11785554885864,13.5430707931519,40.9176139831543,104.536102294922,0.0126557052135468,0.201465964317322,0,0,
9,1.465685248,0,0,0,9.239525795,0,0.9660423398,0,0.8579279184,0,1.733090281,0,1.61728274822235,0.384679079055786,22.7103958129883,4.60151290893555,13.1775283813477,40.8745193481445,104.564903259277,0.0178729146718979,0.253320306539536,0,0,
10,1.83547163,0,0,0,10.57646084,0,1.087056518,0,0.955250144,0,2.041525364,0,1.55861234664917,0.431321859359741,20.6619682312012,4.14137315750122,12.8220252990723,40.788215637207,104.58854675293,0.0243944991379976,0.310114026069641,0,0,
11,2.251914024,0,0,0,11.93037224,0,1.208402753,0,1.047537208,0,2.369195461,0,1.5460786819458,0.480524629354477,18.8700294494629,3.73178887367249,12.4763317108154,40.666862487793,104.608062744141,0.0323672220110893,0.371335566043854,0,0,
12,2.715401411,0,0,0,13.29122543,0,1.329554439,0,1.134195328,0,2.714437008,0,1.56799244880676,0.530270993709564,17.3088722229004,3.36768317222595,12.1402263641357,40.5173759460449,104.624237060547,0.0419336445629597,0.436448991298676,0,0,
13,3.226018429,0,0,0,14.64983845,0,1.4500525,0,1.214874029,0,3.075477839,0,1.61513614654541,0.579176366329193,15.9551296234131,3.04449105262756,11.8135004043579,40.3456153869629,104.637680053711,0.053230956196785,0.504905760288239,0,0,
14,3.783550024,0,0,0,15.99783897,0,1.569496274,0,1.2894251349999999,0,3.45047164,0,1.68026864528656,0.626305222511292,14.787558555603,2.75810408592224,11.4959545135498,40.1565475463867,104.648834228516,0.0663898810744286,0.576154708862305,0,0,
15,4.387487888,0,0,0,17.3276329,0,1.687536955,0,1.357864976,0,3.837524891,0,1.75773108005524,0.671046555042267,13.7868385314941,2.50482320785522,11.1873989105225,39.9543914794922,104.658050537109,0.0815336331725121,0.649649679660797,0,0,
16,5.037037849,0,0,0,18.63238525,0,1.803871036,0,1.420339823,0,4.234731674,0,1.84313142299652,0.713026583194733,12.9353904724121,2.28131556510925,10.8876514434814,39.7427139282227,104.665603637695,0.098776973783969907,0.724856317043304,0,0,
17,5.731126308,0,0,0,19.90599632,0,1.918236375,0,1.477093339,0,4.640196323,0,1.93309092521667,0.752046585083008,12.2172193527222,2.08457732200623,10.5965404510498,39.524543762207,104.671699523926,0.118225373327732,0.801257193088531,0,0,
18,6.468409061,0,0,0,21.14308167,0,2.030407429,0,1.52843976,0,5.052062035,0,2.02504134178162,0.788036644458771,11.6177701950073,1.9118983745575,10.3139009475708,39.302433013916,104.67650604248,0.139974161982536,0.878356337547302,0,0,
19,7.247282982,0,0,0,22.33895493,0,2.14019227,0,1.574739814,0,5.468527317,0,2.11705899238586,0.821021199226379,11.1238021850586,1.76083409786224,10.0395755767822,39.078540802002,104.680137634277,0.16410781443119,0.955682873725891,0,0,
20,8.065898895,0,0,0,23.48960876,0,2.247428179,0,1.616381168,0,5.887870789,0,2.20773148536682,0.851092636585236,10.7232713699341,1.62917697429657,9.77341461181641,38.8546676635742,104.682708740234,0.190699368715286,1.03279364109039,0,0,
21,8.922171593,0,0,0,24.59168625,0,2.351980448,0,1.653762341,0,6.30845356,0,2.29605054855347,0.87839013338089,10.4052286148071,1.51493346691132,9.51527309417725,38.63232421875,104.684303283691,0.219809830188751,1.10927581787109,0,0,
22,9.813799858,0,0,0,25.64246178,0,2.453738928,0,1.687280297,0,6.728740215,0,2.38132357597351,0.903084337711334,10.1597270965576,1.41630244255066,9.26501274108887,38.4127616882324,104.685005187988,0.251487672328949,1.18474781513214,0,0,
23,10.73828125,0,0,0,26.63981819,0,2.552615643,0,1.717320442,0,7.147298813,0,2.46310305595398,0.925364136695862,9.97773838043213,1.33165633678436,9.02250099182129,38.1970176696777,104.684883117676,0.2857685983181,1.25886142253876,0,0,
24,11.69292927,0,0,0,27.58220673,0,2.648543358,0,1.744250417,0,7.562807083,0,2.54113006591797,0.945427358150482,9.85107803344727,1.25952386856079,8.7876091003418,37.9859275817871,104.683990478516,0.322675108909607,1.33130204677582,0,0,
25,13.24091816,0,0,0,27.93561172,0,2.725427628,0,1.768613935,0,7.977621078,0,2.61469030380249,0.963493645191193,9.76518630981445,1.19859075546265,8.56021213531494,37.7799758911133,104.682395935059,0.36347284913063,1.39926207065582,0,0,
26,14.17423058,0,0,0,28.61500168,0,2.805170298,0,1.787778854,0,8.334178925,0,2.6831955909729,0.97948944568634,9.71163272857666,1.14743173122406,8.34022998809814,37.5794410705566,104.680122375488,0.407939016819,1.46215188503265,0,0,
27,15.11992168,0,0,0,29.25933266,0,2.882846355,0,1.805303454,0,8.686882973,0,2.74696326255798,0.993462741374969,9.69024467468262,1.10475528240204,8.12757682800293,37.3846206665039,104.677185058594,0.454571396112442,1.52209413051605,0,0,
28,16.07305527,0,0,0,29.86789894,0,2.95826602,0,1.821321845,0,9.034305573,0,2.80649971961975,1.00582194328308,9.69642925262451,1.06964087486267,7.92212152481079,37.1957511901855,104.673614501953,0.503316342830658,1.57918548583984,0,0,
29,17.03379631,0,0,0,30.44337463,0,3.031648159,0,1.836040974,0,9.376918793,0,2.8622407913208,1.01686298847198,9.72610187530518,1.04125952720642,7.72373533248901,37.0130043029785,104.669456481934,0.554112017154694,1.6335175037384,0,0,
30,18.00228691,0,0,0,30.98809433,0,3.103178501,0,1.849636197,0,9.715134621,0,2.91458797454834,1.02681386470795,9.77567958831787,1.01887178421021,7.53229093551636,36.8365097045898,104.664756774902,0.606900036334991,1.6851921081543,0,0,
31,18.9736805,0,0,0,31.50151634,0,3.172669411,0,1.862196088,0,10.04763031,0,2.96388483047485,1.0358475446701,9.84198188781738,1.00181090831757,7.34766292572021,36.6663475036621,104.65958404541,0.661614298820496,1.73430490493774,0,0,
32,19.94814873,0,0,0,31.98587608,0,3.240294933,0,1.873864174,0,10.37483501,0,3.01042628288269,1.04409801959991,9.92218399047852,0.989475309848785,7.16972732543945,36.5025482177734,104.653984069824,0.718181133270264,1.78094553947449,0,0,
33,20.92338181,0,0,0,32.44202423,0,3.306043148,0,1.884736061,0,10.6963253,0,3.05447697639465,1.05167531967163,10.0138034820557,0.98132586479187,6.9983606338501,36.3451194763184,104.648010253906,0.776525676250458,1.82520508766174,0,0,
34,21.89954948,0,0,0,32.87189865,0,3.370062351,0,1.894922256,0,11.01249313,0,3.09627270698547,1.05867111682892,10.1146621704102,0.976879060268402,6.83344125747681,36.1940383911133,104.641731262207,0.836571455001831,1.86717414855957,0,0,
