"Time Step","Softwood Merchantable","Hardwood Merchantable","Softwood Submerchantable","Hardwood Submerchantable","Softwood Other","Hardwood Other","Softwood Foliage","Hardwood Foliage","Softwood Fine Roots","Hardwood Fine Roots","Softwood Coarse Roots","Hardwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
0,0.02117783576,0,0,0,0.05319130421,0,0.1282722056,0,0.01907815598,0,0.02590822242,0,6.38156175613403,1.16869246959686,21.4755115509033,7.41069364547729,18.0585994720459,23.8827934265137,76.468505859375,6.98822404956445e-5,2.50659591984e-4,0,0,
1,0.09381280094,0,0,0,0.2678103745,0,0.2702327669,0,0.05892412364,0,0.08134789765,0,4.75280141830444,0.707755446434021,19.0098724365234,6.55869245529175,17.5171909332275,24.285945892334,76.5874328613281,4.4607601012103e-4,0.00172531197313219,0,0,
2,0.2238436043,0,0,0,0.5874813199,0,0.413991183,0,0.1127772853,0,0.1592428684,0,3.57471561431885,0.440564841032028,16.8356761932373,5.80528974533081,16.9920253753662,24.557035446167,76.6607208251953,0.00147352553904057,0.00549396127462387,0,0,
3,0.41441378,0,0,0,0.9840559959,0,0.5565624833,0,0.1770672947,0,0.2569499016,0,2.73299646377563,0.29181170463562,14.9222030639648,5.13932991027832,16.4826374053955,24.7255859375,76.703254699707,0.00351110124029219,0.0120659088715911,0,0,
4,0.6674171686,0,0,0,1.437981129,0,0.6964937449,0,0.2490892112,0,0.3729308546,0,2.14208245277405,0.215769320726395,13.241660118103,4.55092334747314,15.9885845184326,24.8145427703857,76.724609375,0.00691760424524546,0.0216483753174543,0,0,
5,0.9839045405,0,0,0,1.934024215,0,0.8329575062,0,0.3266035616,0,0.5060932636,0,1.73795700073242,0.184564128518105,11.7689962387085,4.03130531311035,15.509449005127,24.8418273925781,76.731071472168,0.0120448637753725,0.0342532098293304,0,0,
6,1.364260674,0,0,0,2.459631443,0,0.9654536843,0,0.4077037573,0,0.6555310488,0,1.47269225120544,0.181096494197845,10.4816656112671,3.57271146774292,15.0448369979858,24.821496963501,76.7268981933594,0.0192330814898014,0.0497595146298409,0,0,
7,1.808299065,0,0,0,3.004142761,0,1.093677878,0,0.4907596111,0,0.8203990459,0,1.31036424636841,0.194780975580215,9.35938930511475,3.16826152801514,14.5943775177002,24.7646331787109,76.7150421142578,0.0288072917610407,0.06795534491539,0,0,
8,2.315322399,0,0,0,3.558363914,0,1.217452526,0,0.5743870139,0,0.9998458028,0,1.22401034832001,0.218985423445702,8.38393020629883,2.81186032295227,14.1577215194702,24.680004119873,76.6976013183594,0.0410744957625866,0.0885673686861992,0,0,
9,2.884165049,0,0,0,4.114311218,0,1.336687207,0,0.6574270129,0,1.192979336,0,1.19336569309235,0.249491795897484,7.53889083862305,2.49810576438904,13.7345371246338,24.5745735168457,76.6761322021484,0.0563212707638741,0.111282788217068,0,0,
