Name,StateLabelXID,StateLabelYID,ID,Color,Legend,Description,IsAutoName
Forest:Alder/Maple Group,Forest,Alder/Maple Group,4910,,,,
Forest:Aspen/Birch Group,Forest,Aspen/Birch Group,4900,,,,
Forest:California Mixed Conifer Group,Forest,California Mixed Conifer Group,4370,,,,
Forest:Douglas-fir Coastal Group,Forest,Douglas-fir Coastal Group,4200,,,,
Forest:Douglas-fir Inland Group,Forest,Douglas-fir Inland Group,4201,,,,
Forest:Elm/Ash/Cottonwood Group,Forest,Elm/Ash/Cottonwood Group,4700,,,,
Forest:Exotic Hardwoods Group,Forest,Exotic Hardwoods Group,4990,,,,
Forest:Exotic Softwoods Group,Forest,Exotic Softwoods Group,4380,,,,
Forest:Fir/Spruce/Mountain Hemlock Group,Forest,Fir/Spruce/Mountain Hemlock Group,4260,,,,
Forest:Hemlock/Sitka Spruce Group,Forest,Hemlock/Sitka Spruce Group,4300,,,,
Forest:Loblolly/Shortleaf Pine Group,Forest,Loblolly/Shortleaf Pine Group,4160,,,,
Forest:Lodgepole Pine Group,Forest,Lodgepole Pine Group,4280,,,,
Forest:Longleaf/Slash Pine Group,Forest,Longleaf/Slash Pine Group,4140,,,,
Forest:Maple/Beech/Birch Group,Forest,Maple/Beech/Birch Group,4800,,,,
Forest:Oak/Gum/Cypress Group,Forest,Oak/Gum/Cypress Group,4600,,,,
Forest:Oak/Hickory Group,Forest,Oak/Hickory Group,4500,,,,
Forest:Oak/Pine Group,Forest,Oak/Pine Group,4400,,,,
Forest:Other Western Hardwoods Group,Forest,Other Western Hardwoods Group,4950,,,,
Forest:Other Western Softwood Group,Forest,Other Western Softwood Group,4360,,,,
Forest:Pinyon/Juniper Group,Forest,Pinyon/Juniper Group,4180,,,,
Forest:Ponderosa Pine Group,Forest,Ponderosa Pine Group,4220,,,,
Forest:Redwood Group,Forest,Redwood Group,4340,,,,
Forest:Spruce/Fir Group,Forest,Spruce/Fir Group,4120,,,,
Forest:Tanoak/Laurel Group,Forest,Tanoak/Laurel Group,4940,,,,
Forest:Tropical Hardwoods Group,Forest,Tropical Hardwoods Group,4980,,,,
Forest:Western Larch Group,Forest,Western Larch Group,4320,,,,
Forest:Western Oak Group,Forest,Western Oak Group,4920,,,,
Forest:Western White Pine Group,Forest,Western White Pine Group,4240,,,,
Forest:White/Red/Jack Pine Group,Forest,White/Red/Jack Pine Group,4100,,,,
Wetland:Palustrine Forested Alder/Maple Group,Wetland,Palustrine Forested Alder/Maple Group,6910,,,,
Wetland:Palustrine Forested Aspen/Birch Group,Wetland,Palustrine Forested Aspen/Birch Group,6900,,,,
Wetland:Palustrine Forested California Mixed Conifer Group,Wetland,Palustrine Forested California Mixed Conifer Group,6370,,,,
