FlowTypeID,FlowGroupID,Value
Biomass Turnover: Coarse Roots -> AG Fast,Biomass Turnover: Total,1.0000
Biomass Turnover: Coarse Roots -> BG Fast,Biomass Turnover: Total,1.0000
Biomass Turnover: Fine Roots -> AG Very Fast,Biomass Turnover: Total,1.0000
Biomass Turnover: Fine Roots -> BG Very Fast,Biomass Turnover: Total,1.0000
Biomass Turnover: Foliage -> AG Very Fast,Biomass Turnover: Total,1.0000
Biomass Turnover: Merchantable -> Snag Stems,Biomass Turnover: Total,1.0000
Biomass Turnover: Other Wood -> AG Fast,Biomass Turnover: Total,1.0000
Biomass Turnover: Other Wood -> Snag Branches,Biomass Turnover: Total,1.0000
Decay: AG Fast -> AG Slow,Decay: Total,1.0000
Decay: AG Fast -> AG Slow,Q10 Slow Flows,1.0000
Decay: AG Medium -> AG Slow,Decay: Total,1.0000
Decay: AG Medium -> AG Slow,Q10 Slow Flows,1.0000
Decay: AG Very Fast -> AG Slow,Decay: Total,1.0000
Decay: AG Very Fast -> AG Slow,Q10 Fast Flows,1.0000
Decay: AG Very Fast -> BG Slow,AG Very Fast ->,
Decay: BG Fast -> BG Slow,Decay: Total,1.0000
Decay: BG Fast -> BG Slow,Q10 Slow Flows,1.0000
Decay: BG Very Fast -> BG Slow,BG Very Fast ->,
Decay: BG Very Fast -> BG Slow,Decay: Total,1.0000
Decay: BG Very Fast -> BG Slow,Q10 Slow Flows,1.0000
Decay: Snag Branch -> AG Slow,Decay: Total,1.0000
Decay: Snag Branch -> AG Slow,Q10 Slow Flows,1.0000
Decay: Snag Stem -> AG Slow,Decay: Total,1.0000
Decay: Snag Stem -> AG Slow,Q10 Slow Flows,1.0000
Emission: AG Fast -> Atmosphere,Annual Net CO2 Emissions (CO2e),3.6700
Emission: AG Fast -> Atmosphere,Annual Net CO2 Removals (CO2e),-3.6700
Emission: AG Fast -> Atmosphere,Annual Net Emissions (CO2e),3.6700
Emission: AG Fast -> Atmosphere,Annual Net Removals (CO2e),-3.6700
Emission: AG Fast -> Atmosphere,Emission: Total,1.0000
Emission: AG Fast -> Atmosphere,Emission: Total (CO2e),3.6700
Emission: AG Fast -> Atmosphere,Emission: Total Rh,1.0000
Emission: AG Fast -> Atmosphere,Emission: Total Rh (CO2e),3.6700
Emission: AG Fast -> Atmosphere,Net Biome Productivity,-1.0000
Emission: AG Fast -> Atmosphere,Net Biome Productivity (CO2e),-3.6700
Emission: AG Fast -> Atmosphere,Net Ecosystem Productivity,-1.0000
Emission: AG Fast -> Atmosphere,Net Ecosystem Productivity (CO2e),-3.6700
Emission: AG Fast -> Atmosphere,Q10 Slow Flows,1.0000
Emission: AG Medium -> Atmosphere,Annual Net CO2 Emissions (CO2e),3.6700
Emission: AG Medium -> Atmosphere,Annual Net CO2 Removals (CO2e),-3.6700
Emission: AG Medium -> Atmosphere,Annual Net Emissions (CO2e),3.6700
Emission: AG Medium -> Atmosphere,Annual Net Removals (CO2e),-3.6700
Emission: AG Medium -> Atmosphere,Emission: Total,1.0000
Emission: AG Medium -> Atmosphere,Emission: Total (CO2e),3.6700
Emission: AG Medium -> Atmosphere,Emission: Total Rh,1.0000
Emission: AG Medium -> Atmosphere,Emission: Total Rh (CO2e),3.6700
Emission: AG Medium -> Atmosphere,Net Biome Productivity,-1.0000
Emission: AG Medium -> Atmosphere,Net Biome Productivity (CO2e),-3.6700
Emission: AG Medium -> Atmosphere,Net Ecosystem Productivity,-1.0000
Emission: AG Medium -> Atmosphere,Net Ecosystem Productivity (CO2e),-3.6700
Emission: AG Medium -> Atmosphere,Q10 Slow Flows,1.0000
Emission: AG Slow -> Atmosphere,Annual Net CO2 Emissions (CO2e),3.6700
Emission: AG Slow -> Atmosphere,Annual Net CO2 Removals (CO2e),-3.6700
Emission: AG Slow -> Atmosphere,Annual Net Emissions (CO2e),3.6700
Emission: AG Slow -> Atmosphere,Annual Net Removals (CO2e),-3.6700
Emission: AG Slow -> Atmosphere,Emission: Total,1.0000
Emission: AG Slow -> Atmosphere,Emission: Total (CO2e),3.6700
Emission: AG Slow -> Atmosphere,Emission: Total Rh,1.0000
Emission: AG Slow -> Atmosphere,Emission: Total Rh (CO2e),3.6700
Emission: AG Slow -> Atmosphere,Net Biome Productivity,-1.0000
Emission: AG Slow -> Atmosphere,Net Biome Productivity (CO2e),-3.6700
Emission: AG Slow -> Atmosphere,Net Ecosystem Productivity,-1.0000
Emission: AG Slow -> Atmosphere,Net Ecosystem Productivity (CO2e),-3.6700
Emission: AG Slow -> Atmosphere,Q10 Fast Flows,1.0000
Emission: AG Very Fast -> Atmosphere,AG Very Fast ->,
Emission: AG Very Fast -> Atmosphere,Annual Net CO2 Emissions (CO2e),3.6700
Emission: AG Very Fast -> Atmosphere,Annual Net CO2 Removals (CO2e),-3.6700
Emission: AG Very Fast -> Atmosphere,Annual Net Emissions (CO2e),3.6700
Emission: AG Very Fast -> Atmosphere,Annual Net Removals (CO2e),-3.6700
Emission: AG Very Fast -> Atmosphere,Emission: Total,1.0000
Emission: AG Very Fast -> Atmosphere,Emission: Total (CO2e),3.6700
Emission: AG Very Fast -> Atmosphere,Emission: Total Rh,1.0000
Emission: AG Very Fast -> Atmosphere,Emission: Total Rh (CO2e),3.6700
Emission: AG Very Fast -> Atmosphere,Net Biome Productivity,-1.0000
Emission: AG Very Fast -> Atmosphere,Net Biome Productivity (CO2e),-3.6700
