Name,Description,Units,IsAuto
Atmosphere,,,
Biomass: Aboveground,Carbon in all aboveground biomass pools,,
Biomass: Belowground,Carbon in all belowground biomnass pools (coarse plus fine roots),,
Biomass: Coarse Root (tons C/ha),Biomass: Coarse Root converted to tons C/ha,,
Biomass: Fine Root (tons C/ha),Biomass: Fine Root converted to tons C/ha,,
Biomass: Foliage (tons C/ha),Biomass: Foliage converted to tons C/ha,,
Biomass: Merchantable (tons C/ha),Biomass: Merchantable converted to tons C/ha,,
Biomass: Other Wood (tons C/ha),Biomass: Other Wood converted to tons C/ha,,
Biomass: Total,Carbon in aboverground and belowground biomass pools,,
Deep Soil (tons C/ha),Deep Soil converted to tons C/ha,,
DOM: Aboveground,Carbon in DOM pools above the mineral soil,,
DOM: Aboveground Fast (tons C/ha),DOM: Aboveground Fast converted to tons C/ha,,
DOM: Aboveground Medium (tons C/ha),DOM: Aboveground Medium converted to tons C/ha,,
DOM: Aboveground Slow (tons C/ha),DOM: Aboveground Slow converted to tons C/ha,,
DOM: Aboveground Very Fast (tons C/ha),DOM: Aboveground Very Fast converted to tons C/ha,,
DOM: Belowground,Carbon in DOM pools in the mineral soil,,
DOM: Belowground Fast (tons C/ha),DOM: Belowground Fast converted to tons C/ha,,
DOM: Belowground Slow (tons C/ha),DOM: Belowground Slow converted to tons C/ha,,
DOM: Belowground Very Fast (tons C/ha),DOM: Belowground Very Fast converted to tons C/ha,,
DOM: Deadwood,Carbon in all deadwood pools,,
DOM: Down Deadwood,Carbon stores in down deadwood,,
DOM: Litter,"Aboveground Fast, Aboveground Very Fast",,
DOM: No Soil,All DOM stocks except DOM: Soil stocks,,
DOM: Snag Branch (tons C/ha),DOM: Snag Branch converted to tons C/ha,,
DOM: Snag Stem (tons C/ha),DOM: Snag Stem converted to tons C/ha,,
DOM: Soil,"Aboveground Slow, Belowground Slow, Belowground Very Fast, Deep Soil",,
DOM: Standing Deadwood,"Snag branch, Snag stem",,
DOM: Total,Carbon in all DOM pools,,
Total Ecosystem,Carbon in Biomass and DOM pools,,
Total Ecosystem (tons C/ha),Total Ecosystem converted to tons C/ha,,
